Cycle_Index,Discharge_Capacity
1.0,1.068212
2.0,1.0709661
3.0,1.0721085
4.0,1.0724825
5.0,1.0733926
6.0,1.0739669
7.0,1.0743964
8.0,1.0747879
9.0,1.0750496
10.0,1.0752021
11.0,1.0754467
12.0,1.075588
13.0,1.0708272
14.0,1.0733058
15.0,1.0742126
16.0,1.074666
17.0,1.075002
18.0,1.0752209
19.0,1.0754372
20.0,1.0755485
21.0,1.0757278
22.0,1.0758342
23.0,1.0759634
24.0,1.0760384
25.0,1.0761058
26.0,1.0761521
27.0,1.076239
28.0,1.0763023
29.0,1.0762902
30.0,1.076317
31.0,1.0763752
32.0,1.0763735
33.0,1.0764148
34.0,1.0764453
35.0,1.0765239
36.0,1.0764983
37.0,1.0764903
38.0,1.0765082
39.0,1.0765262
40.0,1.0765123
41.0,1.0765719
42.0,1.0765539
43.0,1.0765997
44.0,1.0766424
45.0,1.0766463
46.0,1.0766604
47.0,1.0766722
48.0,1.0766946
49.0,1.0766773
50.0,1.0766748
51.0,1.0766805
52.0,1.0767028
53.0,1.0767175
54.0,1.0767239
55.0,1.0767397
56.0,1.0767298
57.0,1.0766966
58.0,1.0766729
59.0,1.0767031
60.0,1.0767072
61.0,1.0767188
62.0,1.0767187
63.0,1.0767469
64.0,1.0767279
65.0,1.0766987
66.0,1.0771694
67.0,1.0774825
68.0,1.0776737
69.0,1.0777957
70.0,1.0778438
71.0,1.0774096
72.0,1.0768363
73.0,1.0767423
74.0,1.0767398
75.0,1.0767204
76.0,1.0766926
77.0,1.0767032
78.0,1.0766834
79.0,1.0766711
80.0,1.076668
81.0,1.076647
82.0,1.0766025
83.0,1.0765674
84.0,1.0765575
85.0,1.0765196
86.0,1.0765129
87.0,1.0764761
88.0,1.0764645
89.0,1.0764339
90.0,1.0764236
91.0,1.0763458
92.0,1.0763781
93.0,1.0763344
94.0,1.0763228
95.0,1.0762875
96.0,1.0762664
97.0,1.0762461
98.0,1.0762311
99.0,1.076214
100.0,1.0762016
101.0,1.0761763
102.0,1.076161
103.0,1.0761112
104.0,1.0760909
105.0,1.0760748
106.0,1.0760262
107.0,1.0760591
108.0,1.0760025
109.0,1.0759765
110.0,1.0759356
111.0,1.0759031
112.0,1.0758727
113.0,1.0758474
114.0,1.07585
115.0,1.0757831
116.0,1.0757548
117.0,1.0757239
118.0,1.0757108
119.0,1.0756893
120.0,1.0756472
121.0,1.0756235
122.0,1.0755706
123.0,1.075532
124.0,1.0755072
125.0,1.0755522
126.0,1.0755075
127.0,1.0754749
128.0,1.0754372
129.0,1.0753812
130.0,1.0753788
131.0,1.0753058
132.0,1.0753144
133.0,1.0752723
134.0,1.0752439
135.0,1.0752484
136.0,1.0752015
137.0,1.0751736
138.0,1.0751777
139.0,1.0751039
140.0,1.0750827
141.0,1.0750308
142.0,1.0750027
143.0,1.0749605
144.0,1.0749043
145.0,1.0748999
146.0,1.0748444
147.0,1.074803
148.0,1.0747842
149.0,1.0747135
150.0,1.0746711
151.0,1.074627
152.0,1.0745747
153.0,1.0745742
154.0,1.0745685
155.0,1.0744759
156.0,1.0744519
157.0,1.0744082
158.0,1.0743712
159.0,1.0743237
160.0,1.0742856
161.0,1.0742661
162.0,1.0742397
163.0,1.0741788
164.0,1.0740471
165.0,1.0740743
166.0,1.0740743
167.0,1.0740714
168.0,1.0740225
169.0,1.0739577
170.0,1.0739276
171.0,1.0739111
172.0,1.0738654
173.0,1.0738035
174.0,1.073732
175.0,1.0737243
176.0,1.0736483
177.0,1.0736223
178.0,1.0735958
179.0,1.0736083
180.0,1.0736431
181.0,1.0737971
182.0,1.0738001
183.0,1.0737314
184.0,1.0735786
185.0,1.0733598
186.0,1.0732868
187.0,1.0732418
188.0,1.0734155
189.0,1.073527
190.0,1.0735629
191.0,1.073584
192.0,1.0731567
193.0,1.0733941
194.0,1.0732839
195.0,1.0731502
196.0,1.0729066
197.0,1.0728344
198.0,1.0728033
199.0,1.072732
200.0,1.0726643
201.0,1.0726478
202.0,1.0725676
203.0,1.0725448
204.0,1.0724796
205.0,1.0724474
206.0,1.0724148
