Cycle_Index,Discharge_Capacity
1.0,1.0708591
2.0,1.0735391
3.0,1.0754818
4.0,1.0763412
5.0,1.0763675
6.0,1.076983
7.0,1.0773958
8.0,1.0766038
9.0,1.0775483
10.0,1.0778636
11.0,1.0773178
12.0,1.0781097
13.0,1.0782927
14.0,1.0780456
15.0,1.0784748
16.0,1.0782367
17.0,1.0782882
18.0,1.0788139
19.0,1.0787752
20.0,1.0789341
21.0,1.0791894
22.0,1.0786575
23.0,1.0786602
24.0,1.0791395
25.0,1.0785668
26.0,1.0792609
27.0,1.0796067
28.0,1.0786881
29.0,1.0793823
30.0,1.0794848
31.0,1.0782768
32.0,1.0791651
33.0,1.0789675
34.0,1.0787194
35.0,1.0785911
36.0,1.0788441
37.0,1.0789011
38.0,1.0793744
39.0,1.0797122
40.0,1.0796299
41.0,1.0799674
42.0,1.078761
43.0,1.0794476
44.0,1.0794705
45.0,1.0783168
46.0,1.0792201
47.0,1.0796082
48.0,1.078196
49.0,1.0790361
50.0,1.0791321
51.0,1.0784789
52.0,1.0791364
53.0,1.0788238
54.0,1.0783324
55.0,1.0790172
56.0,1.0790912
57.0,1.0783823
58.0,1.0785183
59.0,1.0787623
60.0,1.07855
61.0,1.0788617
62.0,1.0780975
63.0,1.0782903
64.0,1.0783654
65.0,1.0777484
66.0,1.0785919
67.0,1.0787127
68.0,1.0776944
69.0,1.0784519
70.0,1.0786637
71.0,1.0774599
72.0,1.0782553
73.0,1.0782741
74.0,1.0776234
75.0,1.0781357
76.0,1.0778954
77.0,1.0775056
78.0,1.0775713
79.0,1.0777359
80.0,1.077546
81.0,1.0778018
82.0,1.0768771
83.0,1.0771427
84.0,1.077142
85.0,1.0766747
86.0,1.0772665
87.0,1.0770338
88.0,1.0760615
89.0,1.0769244
90.0,1.0773373
91.0,1.0762593
92.0,1.0769353
93.0,1.0763329
94.0,1.0759503
95.0,1.0765011
96.0,1.0763049
97.0,1.0759982
98.0,1.0760391
99.0,1.0761577
100.0,1.0759984
101.0,1.0762572
102.0,1.075084
103.0,1.0756292
104.0,1.0756484
105.0,1.0746218
106.0,1.0753554
107.0,1.0755376
108.0,1.0742974
109.0,1.0749109
110.0,1.0752521
111.0,1.0744274
112.0,1.075247
113.0,1.0746689
114.0,1.0742087
115.0,1.0746336
116.0,1.0747837
117.0,1.0740185
118.0,1.074286
119.0,1.0734173
120.0,1.0739012
121.0,1.073928
122.0,1.0731144
123.0,1.0735798
124.0,1.0737084
125.0,1.0726432
126.0,1.0732744
127.0,1.0731475
128.0,1.0721769
129.0,1.0727251
130.0,1.0726217
131.0,1.0719393
132.0,1.0724674
133.0,1.0724125
134.0,1.0719451
135.0,1.0722618
136.0,1.0720853
137.0,1.0717975
138.0,1.0720352
139.0,1.0710216
140.0,1.0715002
141.0,1.0714359
142.0,1.0704066
143.0,1.0708517
144.0,1.0711188
145.0,1.0696666
146.0,1.0704697
147.0,1.0706437
148.0,1.0695144
149.0,1.0702244
150.0,1.0702319
151.0,1.0695832
152.0,1.0693614
153.0,1.0695094
154.0,1.0691525
155.0,1.0693171
156.0,1.0684482
157.0,1.0689325
158.0,1.0690756
159.0,1.0684958
160.0,1.0686324
161.0,1.0688885
162.0,1.0673304
163.0,1.068067
164.0,1.0681728
165.0,1.0670234
166.0,1.0675504
167.0,1.0676148
168.0,1.0665586
169.0,1.0669129
170.0,1.0670036
171.0,1.0666125
172.0,1.0667814
173.0,1.0660959
174.0,1.0662078
175.0,1.0662565
176.0,1.0652723
177.0,1.0655897
178.0,1.065443
179.0,1.0645622
180.0,1.0649198
181.0,1.0649852
182.0,1.0643446
183.0,1.0647628
184.0,1.0646964
185.0,1.0638424
186.0,1.064206
187.0,1.0639863
188.0,1.0636715
189.0,1.0637553
190.0,1.0633444
191.0,1.0637777
192.0,1.0633368
193.0,1.0621139
194.0,1.0626377
195.0,1.0626247
196.0,1.0614363
197.0,1.0620711
198.0,1.0620482
199.0,1.0607622
200.0,1.0614201
201.0,1.0612797
202.0,1.0602984
203.0,1.0606403
204.0,1.0603927
205.0,1.0600122
206.0,1.060165
207.0,1.0599022
208.0,1.0596193
209.0,1.0597442
210.0,1.0588077
211.0,1.0590192
212.0,1.0588619
213.0,1.0580103
214.0,1.0583836
215.0,1.0585532
216.0,1.0571096
217.0,1.0575618
218.0,1.0574131
219.0,1.0566074
220.0,1.0570478
221.0,1.0568099
222.0,1.0560865
223.0,1.0561883
224.0,1.0561208
225.0,1.0556881
226.0,1.0555353
227.0,1.0547998
228.0,1.0549208
229.0,1.0547806
230.0,1.0539168
231.0,1.054517
232.0,1.0543203
233.0,1.0529783
234.0,1.0533742
235.0,1.0534067
236.0,1.0525067
237.0,1.052857
238.0,1.0524961
239.0,1.0515435
