Cycle_Index,Discharge_Capacity
1.0,1.074605
2.0,1.0780239
3.0,1.079802
4.0,1.0807577
5.0,1.0810982
6.0,1.0813674
7.0,1.081635
8.0,1.0813808
9.0,1.0817713
10.0,1.0820979
11.0,1.0819272
12.0,1.0821626
13.0,1.0824354
14.0,1.082454
15.0,1.0826248
16.0,1.0826764
17.0,1.0829515
18.0,1.0830559
19.0,1.0829142
20.0,1.083208
21.0,1.0834366
22.0,1.0832307
23.0,1.0832174999999997
24.0,1.083303
25.0,1.0830675
26.0,1.0835464
27.0,1.0837058
28.0,1.0833554000000003
29.0,1.0835786
30.0,1.0837357
31.0,1.0834588
32.0,1.0835294
33.0,1.083447
34.0,1.0834163
35.0,1.0832171
36.0,1.0833966
37.0,1.0836862
38.0,1.083863
39.0,1.0839521
40.0,1.0840374
41.0,1.0841106
42.0,1.0836917
43.0,1.0838671
44.0,1.0839486
45.0,1.0836403
46.0,1.0838839
47.0,1.0840735
48.0,1.0834481
49.0,1.0836968
50.0,1.0837798
51.0,1.0837672
52.0,1.0837336
53.0,1.0837411999999997
54.0,1.0836931
55.0,1.0838016
56.0,1.0835440000000003
57.0,1.0834087
58.0,1.0834219
59.0,1.0833837
60.0,1.0835482000000003
61.0,1.0837502
62.0,1.0834944
63.0,1.0835187
64.0,1.083445
65.0,1.0835054
66.0,1.0838493
67.0,1.0838784
68.0,1.0836085
69.0,1.0837228
70.0,1.083824
71.0,1.083535
72.0,1.0836116
73.0,1.0835171
74.0,1.0836018
75.0,1.0836354
76.0,1.0834618
77.0,1.083423
78.0,1.0832441
79.0,1.0831716
80.0,1.0832507999999998
81.0,1.0833958
82.0,1.0830116
83.0,1.083042
84.0,1.0831362
85.0,1.0832449
86.0,1.0834792
87.0,1.0829359
88.0,1.0829818
89.0,1.0829899
90.0,1.083305
91.0,1.0829742999999998
92.0,1.0832945
93.0,1.0827858000000001
94.0,1.0828958
95.0,1.0829372
96.0,1.0825938
97.0,1.0826948
98.0,1.0826269
99.0,1.0823733
100.0,1.082616
101.0,1.082791
102.0,1.0823017
103.0,1.0824779
104.0,1.0823913
105.0,1.081883
106.0,1.082179
107.0,1.0823739
108.0,1.0819739
109.0,1.0820135
110.0,1.0822151
111.0,1.0821551
112.0,1.0824398
113.0,1.0819843
114.0,1.0820061
115.0,1.0816956
116.0,1.081679
117.0,1.0817705
118.0,1.0818441
119.0,1.0813839
120.0,1.0815158
121.0,1.0815078000000002
122.0,1.0813152000000001
123.0,1.0814247
124.0,1.0813729
125.0,1.0811822
126.0,1.0808463
127.0,1.0811931
128.0,1.0810711
129.0,1.0811737
130.0,1.0809665
131.0,1.080755
132.0,1.0804356
133.0,1.0809848
134.0,1.080757
135.0,1.0804474
136.0,1.080317
137.0,1.0803813
138.0,1.0804207
139.0,1.0801619
140.0,1.0803173
141.0,1.0803379
142.0,1.0797722
143.0,1.0798974
144.0,1.0799545
145.0,1.0797359
146.0,1.0796033
147.0,1.0795223
148.0,1.0795037
149.0,1.0793431
150.0,1.079066
151.0,1.0791751
152.0,1.0788179999999998
153.0,1.0786917
154.0,1.0788071
155.0,1.0784988
156.0,1.0784537
157.0,1.0786813
158.0,1.0784508
159.0,1.0783944
160.0,1.0784609
161.0,1.0785248999999997
162.0,1.0781902
163.0,1.0781758
164.0,1.0778995
165.0,1.0779699
166.0,1.077728
167.0,1.0775018
168.0,1.0775729
169.0,1.077404
170.0,1.077342
171.0,1.0774279
172.0,1.0774258
173.0,1.0769324999999998
174.0,1.076926
175.0,1.0768857
176.0,1.0765818
177.0,1.0767345
178.0,1.076764
179.0,1.0762852
180.0,1.0762203000000001
181.0,1.0761156999999997
182.0,1.0761422
183.0,1.0760286
184.0,1.0760032
185.0,1.0757321
186.0,1.0755247999999997
187.0,1.075569
188.0,1.0756781
189.0,1.0756691
190.0,1.0751131
191.0,1.0750973999999998
192.0,1.0748518
193.0,1.0747104
194.0,1.0748724
195.0,1.0749483
196.0,1.0745051
197.0,1.0745281
198.0,1.0742265
199.0,1.073954
200.0,1.0739379
201.0,1.0738256
202.0,1.073491
203.0,1.073283
204.0,1.0734593
205.0,1.0735362
206.0,1.0734819
207.0,1.0730586
208.0,1.0730034
209.0,1.0729966
210.0,1.0726417
211.0,1.0727669
212.0,1.0724795
213.0,1.0721272
214.0,1.0720154
215.0,1.0719144
216.0,1.0715945
217.0,1.0714053
218.0,1.0712917
219.0,1.0711353
220.0,1.0712503
221.0,1.0711536
222.0,1.0708437
223.0,1.0706444
224.0,1.0702444
225.0,1.0702485
226.0,1.0702147
227.0,1.0697756
228.0,1.0698774
229.0,1.0695255
230.0,1.0694588
231.0,1.0695567
232.0,1.0693814
233.0,1.0690867
234.0,1.0686789
235.0,1.0686103
236.0,1.0685622
237.0,1.0685518
238.0,1.0682528
239.0,1.0679538
240.0,1.0674603
241.0,1.0672933
242.0,1.067212
243.0,1.0671664
244.0,1.0668088
245.0,1.0668017
246.0,1.0662384
247.0,1.0645079000000002
248.0,1.0627774
249.0,1.0641508
250.0,1.0645438
251.0,1.0647417
252.0,1.064754
253.0,1.0644294
254.0,1.0643722
255.0,1.0642492
256.0,1.0641112
257.0,1.0641134
258.0,1.0639677
259.0,1.0638196
260.0,1.0635684
261.0,1.0635142
262.0,1.0632788
263.0,1.062963
264.0,1.062692
265.0,1.0626532
266.0,1.0623854
267.0,1.0621982
268.0,1.0622218
269.0,1.0619409
270.0,1.06165
271.0,1.0617384
272.0,1.0615008
273.0,1.0611897
274.0,1.0611296
275.0,1.0607591
276.0,1.0605117
277.0,1.0600972
278.0,1.06007
279.0,1.0598694
280.0,1.0597389
281.0,1.0591255
282.0,1.0590252
283.0,1.0587096
284.0,1.0585591
285.0,1.0583568
286.0,1.0579641
287.0,1.0577915
288.0,1.0574821
289.0,1.0570688
290.0,1.0569462
291.0,1.0568097
292.0,1.0564444
293.0,1.0563829
294.0,1.0561373
295.0,1.0558178
296.0,1.0553191
297.0,1.0548574
298.0,1.0546598
299.0,1.0544931
300.0,1.0540997
301.0,1.0538445
302.0,1.0537614
303.0,1.0533638
304.0,1.0527577
305.0,1.0524311
306.0,1.0520924
307.0,1.0520769
308.0,1.0518783
309.0,1.0514284
310.0,1.0509877
311.0,1.0506829
312.0,1.050158
313.0,1.0498664
314.0,1.0492865
315.0,1.0490838
316.0,1.0489273
317.0,1.0484443
318.0,1.0482166
319.0,1.0479426
320.0,1.0475339
321.0,1.0471576
322.0,1.0467783
323.0,1.0462208
324.0,1.0459909
325.0,1.0455167
326.0,1.0449519
327.0,1.0447958
328.0,1.0444021
329.0,1.0437528
330.0,1.0436106
331.0,1.0430636
332.0,1.0425565
333.0,1.0420771
334.0,1.0415912
335.0,1.0410011
336.0,1.0403066
337.0,1.0400982
338.0,1.0394944
339.0,1.0389349
340.0,1.0387512
341.0,1.0383285
342.0,1.0379716
