Cycle_Index,Discharge_Capacity
1.0,1.0917602
2.0,1.0946392
3.0,1.0959352
4.0,1.0967276
5.0,1.0971971
6.0,1.097481
7.0,1.0977181
8.0,1.0979507
9.0,1.0980457
10.0,1.0981392
11.0,1.0982361
12.0,1.0982825
13.0,1.0983301
14.0,1.098289
15.0,1.0983156
16.0,1.0983149
17.0,1.0982523
18.0,1.098269
19.0,1.0982422
20.0,1.098241
21.0,1.0983334
22.0,1.0982602
23.0,1.0981542
24.0,1.098121
25.0,1.0980847
26.0,1.0980194
27.0,1.0980414
28.0,1.0980428
29.0,1.0980171
30.0,1.0979885
31.0,1.0979977
32.0,1.0966856
33.0,1.0978621
34.0,1.0978693
35.0,1.0979022
36.0,1.0979098
37.0,1.0978897
38.0,1.0966337
39.0,1.0978591
40.0,1.0977814
41.0,1.0978096
42.0,1.0977393
43.0,1.0977112
44.0,1.097607
45.0,1.0976275
46.0,1.0975447
47.0,1.0975108
48.0,1.0974392
49.0,1.0974355
50.0,1.0973709
51.0,1.0973341
52.0,1.0975264
53.0,1.0976833
54.0,1.0978316
55.0,1.0978509
56.0,1.0978572
57.0,1.0973386
58.0,1.0971576
59.0,1.0971154
60.0,1.0970653
61.0,1.0969902
62.0,1.0970213
63.0,1.0969549
64.0,1.0969224
65.0,1.0968727
66.0,1.0968298
67.0,1.0967759
68.0,1.0967592
69.0,1.096697
70.0,1.0966444
71.0,1.0965778
72.0,1.0965809
73.0,1.0952907
74.0,1.0964795
75.0,1.0964137
76.0,1.0963832
77.0,1.0963277
78.0,1.0962874
79.0,1.0950392
80.0,1.0962231
81.0,1.0961469
82.0,1.0961052
83.0,1.0960256
84.0,1.0960238
85.0,1.0960195
86.0,1.0959488
87.0,1.0958644
88.0,1.0958792
89.0,1.0958103
90.0,1.0957605
91.0,1.0957917
92.0,1.0956663
93.0,1.0956216
94.0,1.095592
95.0,1.0955549
96.0,1.0954814
97.0,1.0955694
98.0,1.0954791
99.0,1.0953952
100.0,1.0953494
101.0,1.0953295
102.0,1.0952941
103.0,1.0952415
104.0,1.0951551
105.0,1.0951347
106.0,1.0951052
107.0,1.0950413
108.0,1.0949439
109.0,1.0950079
110.0,1.0948452
111.0,1.0947789
112.0,1.0947282
113.0,1.094763
114.0,1.0947028
115.0,1.0947131
116.0,1.0946404
117.0,1.0945979
118.0,1.0944523
119.0,1.0944825
120.0,1.0931723
121.0,1.0944066
122.0,1.0943334
123.0,1.0943282
124.0,1.0942718
125.0,1.094276
126.0,1.0930185
127.0,1.0941151
128.0,1.094041
129.0,1.0939823
130.0,1.0939264
131.0,1.0938454
132.0,1.0926069
133.0,1.093784
134.0,1.0937393
135.0,1.0936737
136.0,1.0936234
137.0,1.09354
138.0,1.0934663
139.0,1.0933529
140.0,1.0932957
141.0,1.0932893
142.0,1.093225
143.0,1.0932636
144.0,1.0932304
145.0,1.0932102
146.0,1.0930929
147.0,1.0930235
148.0,1.0929481
149.0,1.0929214
150.0,1.0928844
151.0,1.0928289
152.0,1.0927707
153.0,1.0927266
154.0,1.0926813
155.0,1.092674
156.0,1.0926775
157.0,1.0926647
158.0,1.0925884
159.0,1.0925238
160.0,1.0925219
161.0,1.0924324
162.0,1.0924937
163.0,1.092266
164.0,1.0922233
165.0,1.0921838
166.0,1.0921235
167.0,1.0920495
168.0,1.0921677
169.0,1.0922152
170.0,1.0922728
171.0,1.0921385
172.0,1.0920023
173.0,1.0905913
174.0,1.091742
175.0,1.0916231
176.0,1.0917386
177.0,1.0918559
178.0,1.0918617
179.0,1.0906628
180.0,1.0918089
181.0,1.0917711
182.0,1.0916132
183.0,1.0914563
184.0,1.0912983
185.0,1.0899959
186.0,1.0911558
187.0,1.0911013
188.0,1.0910932
189.0,1.0909525
190.0,1.0909574
191.0,1.090853
192.0,1.090806
193.0,1.0906907
194.0,1.090616
195.0,1.0906427
196.0,1.0906235
197.0,1.0907027
198.0,1.0908347
199.0,1.0907649
200.0,1.0905883
201.0,1.0904025
202.0,1.0902591
203.0,1.0901461
204.0,1.090265
205.0,1.0904819
206.0,1.0905354
207.0,1.09062
208.0,1.0905794
209.0,1.0905765
210.0,1.0904285
211.0,1.0903591
212.0,1.0900198
213.0,1.089757
214.0,1.0896925
215.0,1.0896782
216.0,1.0894669
217.0,1.0894529
218.0,1.0893555
219.0,1.0893275
220.0,1.0892283
221.0,1.0891713
222.0,1.0891854
223.0,1.0891539
224.0,1.0891926
225.0,1.0892271
226.0,1.0887543
227.0,1.089384
228.0,1.0892034
229.0,1.0889504
230.0,1.0887644
231.0,1.0886755
232.0,1.0873872
233.0,1.0887084
234.0,1.0887625
235.0,1.0888598
236.0,1.0887893
237.0,1.0887921
238.0,1.0874172
239.0,1.0886018
240.0,1.0885071
241.0,1.0882345
242.0,1.0881294
243.0,1.0880587
244.0,1.0880306
245.0,1.0879264
246.0,1.0878607
247.0,1.0878112
248.0,1.0876878
249.0,1.0876667
250.0,1.0876431
251.0,1.0875674
252.0,1.0875535
253.0,1.0875183
254.0,1.087648
255.0,1.0877161
256.0,1.0876375
257.0,1.0875152
258.0,1.0872474
259.0,1.0871909
260.0,1.0870761
261.0,1.0871007
262.0,1.0872175
263.0,1.0872511
264.0,1.0872746
265.0,1.0872779
266.0,1.0871907
267.0,1.0871222
268.0,1.0870932
269.0,1.086893
270.0,1.0866425
271.0,1.0865679
272.0,1.0865225
273.0,1.086436
274.0,1.0864198
275.0,1.0863121
276.0,1.0861915
277.0,1.0861595
278.0,1.0861101
279.0,1.086015
280.0,1.0860307
281.0,1.0859003
282.0,1.0858885
283.0,1.0859644
284.0,1.0859461
285.0,1.0858321
286.0,1.0857415
287.0,1.0856445
288.0,1.0856168
289.0,1.0855013
290.0,1.0855236
291.0,1.084359
292.0,1.0856915
293.0,1.0856813
294.0,1.085718
295.0,1.0856906
296.0,1.0856683
297.0,1.0843605
298.0,1.0852858
299.0,1.0850409
300.0,1.0849687
301.0,1.0848956
302.0,1.0848186
303.0,1.0835334
304.0,1.0846654
305.0,1.0845892
306.0,1.0844959
307.0,1.084414
308.0,1.0842801
309.0,1.0842516
310.0,1.0841597
311.0,1.0841608
312.0,1.0841547
313.0,1.0840409
314.0,1.0840226
315.0,1.0839866
316.0,1.0838605
317.0,1.0837793
318.0,1.0837276
319.0,1.0837305
320.0,1.0837839
321.0,1.0837456
322.0,1.0837563
323.0,1.0836917
324.0,1.0836271
325.0,1.0836651
326.0,1.0835038
327.0,1.0832962
328.0,1.0832287
329.0,1.0831368
330.0,1.0830688
331.0,1.0830171
332.0,1.0829395
333.0,1.0829765
334.0,1.0828196
335.0,1.0827272
336.0,1.0826564
337.0,1.0826056
338.0,1.0825467
339.0,1.082914
340.0,1.083269
341.0,1.0834517
342.0,1.0833948
343.0,1.0833308
344.0,1.0832053
345.0,1.083172
346.0,1.0831695
347.0,1.0833371
348.0,1.0835121
349.0,1.0836784
350.0,1.0837877
351.0,1.0837895
352.0,1.0837816
353.0,1.0837874
354.0,1.0836865
355.0,1.0834026
356.0,1.0818423
357.0,1.0827543
358.0,1.0825373
359.0,1.0824112
360.0,1.0822875
361.0,1.0821857
362.0,1.0808753
363.0,1.0820514
364.0,1.0820125
365.0,1.0819359
366.0,1.0818574
367.0,1.0817828
368.0,1.0805267
369.0,1.0818197
370.0,1.0817276
371.0,1.0816007
372.0,1.0814487
373.0,1.0813583
374.0,1.0812078
375.0,1.0812857
376.0,1.081413
377.0,1.0815182
378.0,1.081535
379.0,1.0815592
380.0,1.0815891
381.0,1.0815731
382.0,1.0815778
383.0,1.0814562
384.0,1.0811542
385.0,1.0808849
386.0,1.0806707
387.0,1.080536
388.0,1.0803998
389.0,1.0802987
390.0,1.0802046
391.0,1.08013
392.0,1.0801243
393.0,1.0799949
394.0,1.079962
395.0,1.0799028
396.0,1.0798788
397.0,1.0799152
398.0,1.0799036
399.0,1.0797862
400.0,1.0796527
401.0,1.0794652
402.0,1.0793213
403.0,1.0792295
404.0,1.0793632
405.0,1.0794477
406.0,1.0795311
407.0,1.0795527
408.0,1.0795736
409.0,1.0795554
410.0,1.0795637
411.0,1.0795
412.0,1.0791882
413.0,1.0789279
414.0,1.0786412
415.0,1.0784439
416.0,1.0783428
417.0,1.0782021
418.0,1.0781475
419.0,1.0780642
420.0,1.0779786
421.0,1.0767044
422.0,1.0778944
423.0,1.0778539
424.0,1.0777786
425.0,1.0778223
426.0,1.0778513
427.0,1.0765669
428.0,1.0776179
429.0,1.0774845
430.0,1.0772967
431.0,1.0771219
432.0,1.0771273
433.0,1.076019
434.0,1.0773398
435.0,1.0773839
436.0,1.0774003
