Cycle_Index,Discharge_Capacity
1.0,1.076097
2.0,1.080285
3.0,1.0816163
4.0,1.0824264
5.0,1.0827806
6.0,1.0828321
7.0,1.0830711
8.0,1.0830737
9.0,1.0830258
10.0,1.0830935
11.0,1.0830073
12.0,1.0830258
13.0,1.0831788
14.0,1.0831265
15.0,1.0830783
16.0,1.0832168
17.0,1.0830419
18.0,1.0830526
19.0,1.0831288
20.0,1.0829653
21.0,1.0829297
22.0,1.0829966
23.0,1.0827773
24.0,1.0826838
25.0,1.0825813
26.0,1.0824956
27.0,1.0824968
28.0,1.0824174
29.0,1.082337
30.0,1.0822783
31.0,1.082141
32.0,1.0818859
33.0,1.0819244
34.0,1.0816889
35.0,1.0815856
36.0,1.0817002
37.0,1.0815108
38.0,1.0814885
39.0,1.0815727
40.0,1.0813667
41.0,1.0812385
42.0,1.0811636
43.0,1.0809157
44.0,1.0808077
45.0,1.0806317
46.0,1.0805631
47.0,1.0804198
48.0,1.0802258
49.0,1.080067
50.0,1.0800234
51.0,1.079904
52.0,1.0797466
53.0,1.0796986
54.0,1.0793735
55.0,1.0791675
56.0,1.0791216
57.0,1.0788584
58.0,1.078577
59.0,1.0786873
60.0,1.078514
61.0,1.0783851
62.0,1.0783269
63.0,1.0780925
64.0,1.0778702
65.0,1.0778123
66.0,1.0776469
67.0,1.0774997
68.0,1.0773071
69.0,1.0770979
70.0,1.0770429
71.0,1.0767572
72.0,1.0765593
73.0,1.076468
74.0,1.0762906
75.0,1.0761498
76.0,1.0761265
77.0,1.0757855
78.0,1.0754815
79.0,1.0753919
80.0,1.0751694
81.0,1.0749646
82.0,1.0748649
83.0,1.0746169
84.0,1.0744469
85.0,1.0743489
86.0,1.0742853
87.0,1.0741872
88.0,1.0739546
89.0,1.0736957
90.0,1.0735635
91.0,1.0732929
92.0,1.0730541
93.0,1.0730242
94.0,1.0727285
95.0,1.072529
96.0,1.0723391
97.0,1.0721092
98.0,1.0720112
99.0,1.0718275
100.0,1.0716245
101.0,1.0712652
102.0,1.071101
103.0,1.0709274
104.0,1.0707573
105.0,1.0704198
106.0,1.0702319
107.0,1.0700674
108.0,1.069905
109.0,1.0698489
110.0,1.0697231
111.0,1.0694144
112.0,1.0691048
113.0,1.0690743
114.0,1.0687104
115.0,1.0686349
116.0,1.0684087
117.0,1.068164
118.0,1.0679345
119.0,1.0677583
120.0,1.0675275
121.0,1.0674275
122.0,1.0671304
123.0,1.0669473
124.0,1.0669038
125.0,1.0666173
126.0,1.0663987
127.0,1.0662338
128.0,1.0659063
129.0,1.065635
130.0,1.0655261
131.0,1.0652125
132.0,1.0650408
133.0,1.0649484
