Cycle_Index,Discharge_Capacity
1.0,1.0695118
2.0,1.0732793
3.0,1.0749165
4.0,1.0760304
5.0,1.0765644
6.0,1.0771931
7.0,1.0775844
8.0,1.0776178
9.0,1.0780863
10.0,1.0783074
11.0,1.0782793
12.0,1.0786407
13.0,1.0787601
14.0,1.0787208
15.0,1.0789171
16.0,1.0789883
17.0,1.0789996
18.0,1.0792284
19.0,1.0791793
20.0,1.079289
21.0,1.0793511
22.0,1.0792154
23.0,1.0793393
24.0,1.0794894
25.0,1.0792921
26.0,1.0796106
27.0,1.0797415
28.0,1.0794073
29.0,1.0796819
30.0,1.079726
31.0,1.0795079
32.0,1.0797616
33.0,1.0797899
34.0,1.0796965
35.0,1.0798053
36.0,1.0798965
37.0,1.0797917
38.0,1.0799413
39.0,1.0801251
40.0,1.0799652
41.0,1.080019
42.0,1.0798235
43.0,1.0799264
44.0,1.0799962
45.0,1.0797319
46.0,1.0799602
47.0,1.0800406
48.0,1.079707
49.0,1.0799379
50.0,1.0800272
51.0,1.0796938
52.0,1.0799516
53.0,1.0800607
54.0,1.0796915
55.0,1.0799516
56.0,1.0799705
57.0,1.0785834
58.0,1.0799501
59.0,1.079924
60.0,1.0798371
61.0,1.0799644
62.0,1.0799229
63.0,1.0797737
64.0,1.0798967
65.0,1.0798563
66.0,1.0798017
67.0,1.0798742
68.0,1.0796423
69.0,1.0797646
70.0,1.0797904
71.0,1.0794498
72.0,1.0796499
73.0,1.0796981
74.0,1.0793592
75.0,1.0795765
76.0,1.079622
77.0,1.0793824
78.0,1.0794908
79.0,1.0796202
80.0,1.0792488
81.0,1.079466
82.0,1.0793869
83.0,1.0791992
84.0,1.0793504
85.0,1.0793198
86.0,1.0791425
87.0,1.0793165
88.0,1.0792586
89.0,1.0791484
90.0,1.079083
91.0,1.0791396
92.0,1.0789638
93.0,1.0791142
94.0,1.0787373
95.0,1.0788339
96.0,1.0788251
97.0,1.0785161
98.0,1.0787262
99.0,1.0787749
100.0,1.0785081
101.0,1.0787098
102.0,1.0787112
103.0,1.0782828
104.0,1.0784507
105.0,1.078531
106.0,1.0781347
107.0,1.0783327
108.0,1.0782849
109.0,1.0781277
110.0,1.0781639
111.0,1.0781109
112.0,1.0779097
113.0,1.0781187
114.0,1.078136
115.0,1.0778286
116.0,1.0778335
117.0,1.0779001
118.0,1.077635
119.0,1.077704
120.0,1.0773716
121.0,1.0774828
122.0,1.0774734
123.0,1.077224
124.0,1.0773238
125.0,1.0773416
126.0,1.076997
127.0,1.077209
128.0,1.0771459
129.0,1.0768241
130.0,1.0769629
131.0,1.0769851
132.0,1.0766767
133.0,1.0767877
134.0,1.0766943
135.0,1.0765425
136.0,1.0766
137.0,1.0766109
138.0,1.076285
139.0,1.0764427
140.0,1.0764675
141.0,1.0762035
142.0,1.0762495
143.0,1.0761304
144.0,1.0759435
145.0,1.0760404
146.0,1.0757717
147.0,1.0758154
148.0,1.0758642
149.0,1.0755218
150.0,1.0756298
151.0,1.075552
152.0,1.0751948
153.0,1.075412
154.0,1.0753635
155.0,1.074988
156.0,1.075123
157.0,1.0750666
158.0,1.0747606
159.0,1.0749234
160.0,1.0748671
161.0,1.0745538
162.0,1.0746145
163.0,1.0745487
164.0,1.0742768
165.0,1.0743593
166.0,1.0743574
167.0,1.0740452
168.0,1.0741988
169.0,1.0740354
170.0,1.0738339
171.0,1.0737813
172.0,1.0736418
173.0,1.0735773
174.0,1.0735624
175.0,1.0732752
176.0,1.0733379
177.0,1.0733372
178.0,1.0730649
179.0,1.0730962
180.0,1.073032
181.0,1.0727047
182.0,1.0728287
183.0,1.0728523
184.0,1.0724746
185.0,1.0726061
186.0,1.0725143
187.0,1.0721806
188.0,1.0722344
189.0,1.0721973
190.0,1.0719006
191.0,1.0720295
192.0,1.0719564
193.0,1.0717264
194.0,1.0717261
195.0,1.0716976
196.0,1.0714283
197.0,1.0714011
198.0,1.0711911
199.0,1.0710936
200.0,1.0710927
201.0,1.0708669
202.0,1.0707811
203.0,1.0707355
204.0,1.0704588
205.0,1.0704422
206.0,1.0703002
207.0,1.070022
208.0,1.070114
209.0,1.0700141
210.0,1.0696524
211.0,1.0697712
212.0,1.069773
213.0,1.0692663
214.0,1.0693249
215.0,1.0693269
216.0,1.0689057
217.0,1.0678232
218.0,1.0688486
219.0,1.068573
220.0,1.0685523
221.0,1.0684434
222.0,1.0682015
223.0,1.0681891
224.0,1.0681109
225.0,1.0679075
226.0,1.0678167
227.0,1.0677371
228.0,1.0675677
229.0,1.0674605
230.0,1.0671422
231.0,1.0671492
232.0,1.067049
233.0,1.0667056
234.0,1.06679
235.0,1.0667003
236.0,1.0662812
237.0,1.0664064
238.0,1.0662597
239.0,1.0657902
240.0,1.0658747
241.0,1.0657799
242.0,1.0653652
243.0,1.0653847
244.0,1.0651751
245.0,1.0649469
246.0,1.0649555
247.0,1.0648935
248.0,1.0645533
249.0,1.0644248
250.0,1.0644214
251.0,1.0692924
252.0,1.0664566
253.0,1.0653672
254.0,1.0646267
255.0,1.0644122
256.0,1.0640756
257.0,1.063737
258.0,1.0636427
259.0,1.0632626
260.0,1.0631614
261.0,1.0630492
262.0,1.0627266
263.0,1.0626372
264.0,1.0624965
265.0,1.0620927
266.0,1.062124
267.0,1.0619609
268.0,1.0616852
269.0,1.061622
