Cycle_Index,Discharge_Capacity
1.0,1.0758885
2.0,1.079052
3.0,1.0797886
4.0,1.0819074
5.0,1.0819733
6.0,1.0825555
7.0,1.0830439
8.0,1.0813658
9.0,1.0831547
10.0,1.0834111
11.0,1.0831406
12.0,1.0836747
13.0,1.0840653
14.0,1.0839046
15.0,1.0841446
16.0,1.0842453
17.0,1.0842352
18.0,1.0846167
19.0,1.0842136
20.0,1.0845537
21.0,1.08482
22.0,1.0844122
23.0,1.0844398
24.0,1.0846616
25.0,1.0841373
26.0,1.0847658
27.0,1.084987
28.0,1.0845143
29.0,1.0849357
30.0,1.0849138
31.0,1.0844572
32.0,1.0848217
33.0,1.0850089
34.0,1.0846977
35.0,1.0847999
36.0,1.0847485
37.0,1.0850208
38.0,1.0853667
39.0,1.0850898
40.0,1.0851872
41.0,1.0852333
42.0,1.0847449
43.0,1.0850996
44.0,1.0853616
45.0,1.0846997
46.0,1.0851992
47.0,1.0852696
48.0,1.084475
49.0,1.0849899
50.0,1.0851756
51.0,1.0848111
52.0,1.0851403
53.0,1.0852855
54.0,1.0849204
55.0,1.0851614
56.0,1.0849849
57.0,1.0848702
58.0,1.0851666
59.0,1.0847183
60.0,1.0850896
61.0,1.0853574
62.0,1.0848736
63.0,1.0850739
64.0,1.0852332
65.0,1.0848804
66.0,1.0852727
67.0,1.0853571
68.0,1.0849464
69.0,1.0853773
70.0,1.085596
71.0,1.0850478
72.0,1.0852959
73.0,1.0853983
74.0,1.0851543
75.0,1.0853807
76.0,1.0850782
77.0,1.0850681
78.0,1.0852569
79.0,1.0848564
80.0,1.0850519
81.0,1.0851837
82.0,1.0845877
83.0,1.0848485
84.0,1.0849564
85.0,1.0847567
86.0,1.0850812
87.0,1.0850836
88.0,1.0847332
89.0,1.085017
90.0,1.0851585
91.0,1.0847137
92.0,1.0849869
93.0,1.0845398
94.0,1.0846945
95.0,1.0849093
96.0,1.0844147
97.0,1.0845975
98.0,1.0847591
99.0,1.0844604
100.0,1.0847911
101.0,1.084754
102.0,1.0841062
103.0,1.0845401
104.0,1.084663
105.0,1.0838969
106.0,1.0844374
107.0,1.0844901
108.0,1.0840049
109.0,1.0843801
110.0,1.0844864
111.0,1.0842721
112.0,1.0845102
113.0,1.0843811
114.0,1.0842168
115.0,1.0844226
116.0,1.0839109
117.0,1.083703
118.0,1.0841511
119.0,1.0836222
120.0,1.0839498
121.0,1.0840254
122.0,1.0824112
123.0,1.0839362
124.0,1.0841
125.0,1.0835556
126.0,1.083703
127.0,1.0823905
128.0,1.0834106
129.0,1.0836544
130.0,1.0836501
131.0,1.0834736
132.0,1.0823617
133.0,1.0834932
134.0,1.083563
135.0,1.0837749
136.0,1.0832245
137.0,1.0822302
138.0,1.0834692
139.0,1.0829779
140.0,1.083305
141.0,1.0833696
142.0,1.0815233
143.0,1.0829788
144.0,1.0831602
145.0,1.0826273
146.0,1.0830201
147.0,1.0818232
148.0,1.0826457
149.0,1.0829628
150.0,1.0825964
151.0,1.0824989
152.0,1.0814232
153.0,1.0822476
154.0,1.082455
155.0,1.0825788
156.0,1.0820036
157.0,1.081265
158.0,1.0825757
159.0,1.0821838
160.0,1.0823832
161.0,1.0825678
162.0,1.080635
163.0,1.0822637
164.0,1.0821965
165.0,1.0817826
166.0,1.0820763
167.0,1.0818812
168.0,1.0815974
169.0,1.0818411
170.0,1.0815817
171.0,1.0817221
172.0,1.0818835
173.0,1.0814532
174.0,1.0816227
175.0,1.0815548
176.0,1.0810653
177.0,1.0814478
178.0,1.0814912
179.0,1.0809318
180.0,1.0812243
181.0,1.0810388
182.0,1.0809697
183.0,1.0812019
184.0,1.0811858
185.0,1.0807748
186.0,1.0808535
187.0,1.0807587
188.0,1.0808228
189.0,1.0809811
190.0,1.0806592
191.0,1.0809236
192.0,1.0805868
193.0,1.0801696
194.0,1.0804369
195.0,1.0806336
196.0,1.0799342
197.0,1.0803777
198.0,1.0800968
199.0,1.0796552
200.0,1.0799725
201.0,1.0800401
202.0,1.0794821
203.0,1.0796051
204.0,1.0796741
205.0,1.0795192
206.0,1.0797964
207.0,1.0796533
208.0,1.0794845
209.0,1.0796206
210.0,1.0793562
211.0,1.0794103
212.0,1.0794004
213.0,1.0789492
214.0,1.0791538
215.0,1.0792272
216.0,1.0785197
217.0,1.0787655
218.0,1.0787139
219.0,1.0783188
220.0,1.078607
221.0,1.0786065
222.0,1.0782053
223.0,1.078331
224.0,1.0784507
225.0,1.0780424
226.0,1.078119
227.0,1.0778973
228.0,1.0778292
229.0,1.0779791
230.0,1.0775123
231.0,1.0777634
232.0,1.0779434
233.0,1.0772617
234.0,1.0775479
235.0,1.0775809
236.0,1.0768749
237.0,1.0772997
238.0,1.0771408
239.0,1.076625
240.0,1.0768679
241.0,1.0766969
242.0,1.0764785
243.0,1.0766655
244.0,1.0764357
245.0,1.0763339
246.0,1.07646
247.0,1.076225
248.0,1.072365
249.0,1.0737457
250.0,1.0739483
251.0,1.0743099
252.0,1.074474
253.0,1.0742809
254.0,1.0744253
255.0,1.0743306
256.0,1.0740604
257.0,1.0742557
258.0,1.0743494
259.0,1.0738726
260.0,1.0742218
261.0,1.0741332
262.0,1.0738506
263.0,1.0739917
264.0,1.0738353
265.0,1.0734408
266.0,1.0735983
267.0,1.0733894
268.0,1.0733047
269.0,1.0735577
270.0,1.0732677
271.0,1.0732491
272.0,1.0733894
273.0,1.0729066
274.0,1.0730646
275.0,1.0731726
276.0,1.0726037
277.0,1.0727181
278.0,1.0720823
279.0,1.0721548
280.0,1.0724375
281.0,1.0723848
282.0,1.0719255
283.0,1.0707859
284.0,1.0717417
285.0,1.0716277
286.0,1.0715975
287.0,1.071179
288.0,1.0699852
289.0,1.071134
290.0,1.0707818
291.0,1.0710111
292.0,1.0709713
293.0,1.0692445
294.0,1.0707237
295.0,1.0705832
296.0,1.0699902
297.0,1.0700752
298.0,1.0685842
299.0,1.0695962
300.0,1.0696894
301.0,1.0694536
302.0,1.0694211
303.0,1.0681648
304.0,1.068908
305.0,1.0685496
306.0,1.0684476
307.0,1.0682763
308.0,1.0672841
309.0,1.0683368
310.0,1.067731
311.0,1.0677818
312.0,1.0675725
313.0,1.0670626
314.0,1.0671172
315.0,1.0668192
316.0,1.0666264
317.0,1.0667489
318.0,1.0665067
319.0,1.0663257
320.0,1.0661718
321.0,1.0657839
322.0,1.0657495
323.0,1.0654346
324.0,1.0651292
325.0,1.0651768
326.0,1.0649805
327.0,1.064442
328.0,1.0645504
329.0,1.0640585
330.0,1.0638427
331.0,1.0639783
332.0,1.0636251
333.0,1.0634212
334.0,1.063154
335.0,1.0626093
336.0,1.062541
337.0,1.0623599
338.0,1.0618868
339.0,1.0617701
340.0,1.0617387
341.0,1.0612987
342.0,1.0614045
343.0,1.0612046
344.0,1.060407
345.0,1.0604053
346.0,1.0601691
347.0,1.0597318
348.0,1.0598274
349.0,1.0594246
350.0,1.0590054
351.0,1.0590158
352.0,1.0584053
353.0,1.0579983
354.0,1.0579853
355.0,1.0575116
356.0,1.0572529
357.0,1.0572768
358.0,1.0563636
359.0,1.0564128
360.0,1.0561899
361.0,1.0553607
362.0,1.0554477
363.0,1.0549505
364.0,1.0546132
365.0,1.0542731
366.0,1.0539838
367.0,1.0536855
368.0,1.0536778
369.0,1.052412
370.0,1.052591
371.0,1.052502
372.0,1.0517592
373.0,1.0516998
374.0,1.0514575
375.0,1.0505328
376.0,1.0506048
377.0,1.0503669
378.0,1.0494386
379.0,1.0485458
380.0,1.0488271
381.0,1.0483676
382.0,1.0481544
383.0,1.0476618
384.0,1.0469044
385.0,1.045861
386.0,1.0458778
387.0,1.0455226
388.0,1.0450145
389.0,1.0446283
390.0,1.0444473
391.0,1.0440181
392.0,1.0432503
393.0,1.0431199
394.0,1.0424435
395.0,1.0415961
396.0,1.0414289
397.0,1.0408852
398.0,1.0401934
399.0,1.0396842
400.0,1.0390447
401.0,1.038522
402.0,1.0381978
403.0,1.0373155
404.0,1.0369177
405.0,1.0365461
406.0,1.0355132
407.0,1.0348488
408.0,1.0345474
409.0,1.0337868
410.0,1.0329862
411.0,1.0322202
412.0,1.0315709
413.0,1.0311388
414.0,1.030515
415.0,1.0296926
416.0,1.0293169
417.0,1.0281547
418.0,1.0276369
419.0,1.0271432
420.0,1.0259054
421.0,1.0256311
422.0,1.0234729
423.0,1.0237098
424.0,1.0230409
425.0,1.0222538
426.0,1.0212882
427.0,1.0194895
428.0,1.0198929
429.0,1.0189091
430.0,1.0181971
431.0,1.0169448
432.0,1.0150477
433.0,1.0155149
434.0,1.0142412
435.0,1.0135615
436.0,1.012886
437.0,1.0103968
438.0,1.0108966
439.0,1.0100051
440.0,1.0085526
441.0,1.0078965
442.0,1.0068711
443.0,1.004805
444.0,1.0045756
445.0,1.0030454
446.0,1.0016111
447.0,1.0004314
448.0,0.99963188
449.0,0.99858421
450.0,0.99735022
451.0,0.99557382
452.0,0.99489468
453.0,0.99365777
454.0,0.99192649
455.0,0.99048871
456.0,0.98925525
457.0,0.98727489
458.0,0.98634851
459.0,0.98511332
460.0,0.98329264
461.0,0.98191255
462.0,0.98040009
463.0,0.97855145
464.0,0.97716528
465.0,0.97573256
466.0,0.97424024
467.0,0.97254419
468.0,0.97072548
469.0,0.96926928
470.0,0.96763843
471.0,0.96573633
472.0,0.96446776
473.0,0.96312362
474.0,0.96043205
475.0,0.95929843
476.0,0.95750022
477.0,0.95396507
478.0,0.95400727
479.0,0.95205933
480.0,0.95074606
481.0,0.94911903
482.0,0.94687659
483.0,0.94574314
484.0,0.94401234
485.0,0.94228381
486.0,0.94038695
487.0,0.93868077
488.0,0.93715608
489.0,0.93513161
490.0,0.93339485
491.0,0.93150544
492.0,0.92968619
493.0,0.92788613
494.0,0.92622405
495.0,0.92430925
496.0,0.92255676
497.0,0.92068958
498.0,0.91895115
499.0,0.91718644
500.0,0.9152475
