Cycle_Index,Discharge_Capacity
1.0,1.0636507
2.0,1.0661705
3.0,1.0667928
4.0,1.0674137
5.0,1.0678893
6.0,1.0683733
7.0,1.068862
8.0,1.0691321
9.0,1.0693638
10.0,1.0695512
11.0,1.0683745
12.0,1.069784
13.0,1.0698236
14.0,1.0698264
15.0,1.0697457999999995
16.0,1.0699476
17.0,1.0700938
18.0,1.0700723
19.0,1.0701458
20.0,1.0700632
21.0,1.0701082
22.0,1.0701121
23.0,1.0700816000000002
24.0,1.0700164999999997
25.0,1.0699893
26.0,1.0699711
27.0,1.0699532
28.0,1.0698727
29.0,1.0696832
30.0,1.0698504
31.0,1.0698689
32.0,1.0697455
33.0,1.0698024
34.0,1.0697377
35.0,1.0696578
36.0,1.0696011
37.0,1.069602
38.0,1.0695733
39.0,1.0694541000000002
40.0,1.0694679500000002
41.0,1.0694818
42.0,1.0694627
43.0,1.0694138
44.0,1.0692772
45.0,1.0692852
46.0,1.06911
47.0,1.0690894
48.0,1.0690513
49.0,1.0689088
50.0,1.0689219
51.0,1.0688115
52.0,1.0687654
53.0,1.0675288
54.0,1.0688134
55.0,1.0689895
56.0,1.0690435
57.0,1.0690312
58.0,1.0685651
59.0,1.0683942
60.0,1.0682666
61.0,1.0682377
62.0,1.0681961
63.0,1.068053
64.0,1.0680323
65.0,1.0679131
66.0,1.0678315
67.0,1.0677707
68.0,1.0676849
69.0,1.0675687
70.0,1.0674714
71.0,1.0673964
72.0,1.0673052
73.0,1.0672312
74.0,1.0671396
75.0,1.0670553
76.0,1.0669148
77.0,1.066882
78.0,1.0667326
79.0,1.0666827
80.0,1.0665759
81.0,1.0664879
82.0,1.0663667
83.0,1.0662019
84.0,1.0661716
85.0,1.0662024
86.0,1.0658867000000003
87.0,1.0658376
88.0,1.065811
89.0,1.0656552
90.0,1.0655397
91.0,1.0655847
92.0,1.0654104
93.0,1.0652179
94.0,1.0651042
95.0,1.0638232
96.0,1.0648335
97.0,1.0648432
98.0,1.0647006
99.0,1.0646114
100.0,1.0645274
101.0,1.0644009
102.0,1.064324
103.0,1.0642416
104.0,1.0640787
105.0,1.0639834
106.0,1.0638382
107.0,1.0638094
108.0,1.0637245
109.0,1.0635141
110.0,1.0633938
111.0,1.0632008
112.0,1.0630629
113.0,1.0629203
114.0,1.0630087
115.0,1.0628386
116.0,1.0627444
117.0,1.0626279
118.0,1.0624988
119.0,1.0622746
120.0,1.0621755
121.0,1.0619847
122.0,1.061969
123.0,1.0618163
124.0,1.0617387
125.0,1.0615469
126.0,1.0614775
127.0,1.0613353
128.0,1.0612184
129.0,1.0610393
130.0,1.0608857
131.0,1.0607171
132.0,1.0605569
133.0,1.0605973
134.0,1.0603961
135.0,1.0602294
136.0,1.0601475
137.0,1.0587647
138.0,1.060014
139.0,1.0596255
140.0,1.0595865
141.0,1.0593673
142.0,1.0592937
143.0,1.0590832
144.0,1.0590233
