Cycle_Index,Discharge_Capacity
0,1.0865146787956412
1,1.0894419866978695
2,1.0907783468817482
3,1.0915609567409439
4,1.0920988514377457
5,1.092511995251029
6,1.092799191529633
7,1.0929603405526274
8,1.093035729575761
9,1.0931322594360693
10,1.0931921917150418
11,1.0933083665985743
12,1.0933445652961902
13,1.0934015059472604
14,1.0934288294820997
15,1.0934451837146315
16,1.0934647290169255
17,1.0934458817611419
18,1.093464429854135
19,1.0934357102262746
20,1.0933496510636236
21,1.0934000101333092
22,1.0933637117147637
23,1.093291214598602
24,1.0933050758078822
25,1.0933212305985534
26,1.0932625946916719
27,1.093272666505609
28,1.093258705575399
29,1.093222107994063
30,1.0931807238080837
31,1.0932237035289443
32,1.093182518784825
33,1.093193587808063
34,1.0932716692963083
35,1.0932059532033915
36,1.0931835159941257
37,1.093157089947657
38,1.0931298661337476
39,1.0931568905057967
40,1.0931583863197478
41,1.0930890802733486
42,1.0930573690175862
43,1.0929826780409633
44,1.092999331436285
45,1.0930107993432432
46,1.0929748000874877
47,1.092885450134144
48,1.0928454620411858
49,1.092838880459801
50,1.0929507673433405
51,1.0933427703194487
52,1.0935467993423735
53,1.09369648045841
54,1.0937652879001587
55,1.0937247014816198
56,1.092819035994717
57,1.0926110181345894
58,1.092530144460302
59,1.0924905552510638
60,1.0924380023209164
61,1.0924009061349302
62,1.0923073679025237
63,1.0922567096700477
64,1.0922522222281945
65,1.0921660633446133
66,1.092149908553942
67,1.0920972559028643
68,1.092040215530864
69,1.0919693139495836
70,1.0919006062287648
71,1.0918921299497089
72,1.0918590226009255
73,1.0918251174847013
74,1.0917986914382327
75,1.0917619941359666
76,1.0916842118105115
77,1.0916644670663573
78,1.0916359468803571
79,1.0916086233455176
80,1.091572524368832
81,1.0914952406480272
82,1.0914738006480618
83,1.0914211479969844
84,1.0913792652063548
85,1.0912995881832284
86,1.091370888648229
87,1.0912689738576966
88,1.0912040555322204
89,1.091150106509052
90,1.0911124119974853
91,1.0910799029742821
92,1.0910521805557225
93,1.090983672276764
94,1.0909234408350013
95,1.0908616138583573
96,1.090903795811777
97,1.0908058698584477
98,1.090727489207412
99,1.090713328835342
100,1.090666858881929
101,1.0906263721843203
102,1.0906322557191943
103,1.090535725858886
104,1.09047120641713
105,1.0904276283706893
106,1.0903633083707935
107,1.0903134479057581
108,1.090242745766338
109,1.0901463156269595
110,1.0902031565570998
111,1.090148509487421
112,1.0900898735805395
113,1.090044201394567
114,1.0900356253945809
115,1.0899818758132727
116,1.0886814151642197
117,1.089896215534342
118,1.089846953394887
119,1.0898038739530964
120,1.089788018325215
121,1.0897803398135997
122,1.0897042527439558
123,1.0896846077207316
124,1.089662469674256
125,1.0895955569301785
126,1.0895393143256185
127,1.0894995256745201
128,1.089432812372303
129,1.0894110732095477
130,1.089305967349253
131,1.089262389302812
132,1.089179421488993
133,1.0891034341402792
134,1.0890373191636422
135,1.0889844670707045
136,1.0889054880940887
137,1.0888490460476685
138,1.0887982880942624
139,1.08878063748964
140,1.0886970713502406
141,1.0886368399084778
142,1.088590369955065
143,1.088559456466743
144,1.0884840674436094
145,1.0883850445600491
146,1.0883690892112377
147,1.0871212812132618
148,1.0882952957229854
149,1.0882331695835514
150,1.0881500023278723
151,1.0881481076302009
152,1.088106025397711
153,1.0880559654908155
154,1.0880318330257384
155,1.087959335909577
156,1.0879273254910242
157,1.0878782627934291
158,1.087800281026114
159,1.0877661764680298
160,1.087670843258882
161,1.087628362142672
162,1.08756952679393
163,1.0875404082823494
164,1.087476088282454
165,1.0874431803755304
166,1.08756932735207
167,1.0876760287472458
168,1.0876697463286513
169,1.0874828693056986
170,1.0872902084688019
171,1.08711868846908
172,1.087027044934345
173,1.0870348231668905
174,1.0871768257713113
175,1.0872704637246478
176,1.087320124747823
177,1.0873065627013334
178,1.0872502203758434
179,1.0871416242829963
180,1.0870121865157645
181,1.0868077586091194
182,1.08655516549325
183,1.0864869563770816
184,1.0864207416795146
185,1.0863575186098495
186,1.0862981846564577
187,1.086224391168205
188,1.0861648577729528
189,1.086098842517246
190,1.086026744284805
191,1.0859646181453706
192,1.0859390895872727
193,1.0859704019593148
194,1.0860384116336232
195,1.0861824086566454
196,1.0861809128426942
197,1.0860951528428333
198,1.085886038052475
199,1.0856560815877316
200,1.085522654983297
201,1.0855423997274511
202,1.0857728547968446
203,1.0859584354477065
204,1.0860172707964482
205,1.0860740120056585
206,1.086015675261567
207,1.085931111912867
208,1.0857888101456559
209,1.0856179881924446
210,1.085181709123385
211,1.0849443733098165
212,1.0848428574030042
213,1.0847461281008357
214,1.0846739301474646
215,1.0845918598220161
216,1.0845009143337916
217,1.084411364938588
218,1.0843540254037973
219,1.084298381124818
220,1.0842726531248597
221,1.0842912012178527
222,1.0843252060550068
223,1.0844415803803995
224,1.0845184652174842
225,1.084355122334028
226,1.0841204789855716
227,1.0838528280092616
228,1.083754702614072
229,1.0836729314514137
230,1.0837212961024982
231,1.083816729032576
232,1.083929513404486
233,1.0839033865208074
234,1.0838390665209117
235,1.0837615833582468
236,1.0836516908933087
237,1.0835473828004547
238,1.083232264661431
239,1.0830795919174927
240,1.08309016233608
241,1.0829638159176804
242,1.0828925154526798
243,1.0827623796389374
244,1.0826920763832375
245,1.0826186817787053
246,1.0825794914531877
247,1.082519459453285
248,1.0824933325696064
249,1.0824228298720464
250,1.0824732886626622
251,1.0825371100579073
252,1.0826092082903487
253,1.0824855543370608
254,1.08227314875601
255,1.0820082899657422
256,1.0818817441054822
257,1.0817678628033414
258,1.081786809780055
259,1.0818736667101465
260,1.081937687547252
261,1.081902685500797
262,1.0818861318264055
263,1.0817975796405024
264,1.081701348942984
265,1.0816338378733261
266,1.0813082490366452
267,1.0810458832696288
268,1.0809044789907885
269,1.0808072510839695
270,1.0795229452255877
271,1.0806765169446464
272,1.0805493727588065
273,1.080477274526365
274,1.080375758619553
275,1.0803225076428953
276,1.0802465202941813
277,1.0801891807593904
278,1.080115187829278
279,1.0801524834571246
280,1.0802238836430553
281,1.0801390211315651
282,1.0799272138760945
283,1.079761377969387
284,1.0796884819695052
285,1.079572506527833
286,1.079586766620833
287,1.0796540782486306
288,1.0797278717368832
289,1.0797875048530656
290,1.079805454620478
291,1.079782618527492
292,1.079748912853128
293,1.0797261764810717
294,1.0794734836442725
295,1.0791074081099827
296,1.0788332752732182
297,1.0787129121106225
298,1.078635728110748
299,1.078522046250467
300,1.0784313999250326
301,1.077128845136448
302,1.0782413318323179
303,1.0781422092278274
304,1.078042986902407
305,1.0779420693211754
306,1.0778671789026921
307,1.0778007647632648
308,1.0777505054145093
309,1.0775804812287386
310,1.077575495182235
311,1.0774287059731709
312,1.0773490289500445
313,1.0772437236478896
314,1.0771501854154832
315,1.077116280299259
316,1.0769140462530755
317,1.0770230412296429
318,1.0770298222528876
319,1.0769899338808593
320,1.0768858252298654
321,1.0768262918346132
322,1.0766808987185699
323,1.076368173881868
324,1.076269649602958
325,1.0761856845798383
326,1.076079382068383
327,1.075977965882501
328,1.0758742561152272
329,1.0757874989060656
330,1.0757023372317853
331,1.0755944391854486
332,1.0755119699762803
333,1.0753945984415867
334,1.0753095364882364
335,1.0758861229059058
336,1.0762805191843356
337,1.0764277072771202
338,1.076320606998224
339,1.0759859435569066
340,1.0760754929521101
341,1.0759602155569483
342,1.0760399923010049
343,1.0762559878355384
344,1.076404771463204
