filename,forecast_cycle,soh,bin,saved_path
2017-05-12_3_6C-80per_3_6C_CH1_capacity,500,0.9854,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_3_6C-80per_3_6C_CH1_capacity_forecast500.csv
2017-05-12_3_6C-80per_3_6C_CH1_capacity,550,0.9706,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_3_6C-80per_3_6C_CH1_capacity_forecast550.csv
2017-05-12_3_6C-80per_3_6C_CH1_capacity,750,0.9672,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.95_1.0\2017-05-12_3_6C-80per_3_6C_CH1_capacity_forecast750.csv
2017-05-12_3_6C-80per_3_6C_CH2_capacity,500,0.9854,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_3_6C-80per_3_6C_CH2_capacity_forecast500.csv
2017-05-12_3_6C-80per_3_6C_CH2_capacity,550,0.9835,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_3_6C-80per_3_6C_CH2_capacity_forecast550.csv
2017-05-12_3_6C-80per_3_6C_CH2_capacity,750,0.9763,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.95_1.0\2017-05-12_3_6C-80per_3_6C_CH2_capacity_forecast750.csv
2017-05-12_3_6C-80per_3_6C_CH3_capacity,500,0.9865,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_3_6C-80per_3_6C_CH3_capacity_forecast500.csv
2017-05-12_3_6C-80per_3_6C_CH3_capacity,550,0.9846,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_3_6C-80per_3_6C_CH3_capacity_forecast550.csv
2017-05-12_3_6C-80per_3_6C_CH3_capacity,750,0.9779,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.95_1.0\2017-05-12_3_6C-80per_3_6C_CH3_capacity_forecast750.csv
2017-05-12_4C-80per_4C_CH5_capacity,500,0.9841,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_4C-80per_4C_CH5_capacity_forecast500.csv
2017-05-12_4C-80per_4C_CH5_capacity,550,0.9825,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_4C-80per_4C_CH5_capacity_forecast550.csv
2017-05-12_4C-80per_4C_CH5_capacity,750,0.9738,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.95_1.0\2017-05-12_4C-80per_4C_CH5_capacity_forecast750.csv
2017-05-12_4C-80per_4C_CH6_capacity,500,0.985,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_4C-80per_4C_CH6_capacity_forecast500.csv
2017-05-12_4C-80per_4C_CH6_capacity,550,0.9828,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_4C-80per_4C_CH6_capacity_forecast550.csv
2017-05-12_4C-80per_4C_CH6_capacity,750,0.9754,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.95_1.0\2017-05-12_4C-80per_4C_CH6_capacity_forecast750.csv
2017-05-12_4_4C-80per_4_4C_CH7_capacity,500,0.9826,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_4_4C-80per_4_4C_CH7_capacity_forecast500.csv
2017-05-12_4_4C-80per_4_4C_CH7_capacity,550,0.9765,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_4_4C-80per_4_4C_CH7_capacity_forecast550.csv
2017-05-12_4_4C-80per_4_4C_CH7_capacity,750,0.958,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.95_1.0\2017-05-12_4_4C-80per_4_4C_CH7_capacity_forecast750.csv
2017-05-12_4_8C-80per_4_8C_CH10_capacity,500,0.9467,bin_0.9_0.95,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.9_0.95\2017-05-12_4_8C-80per_4_8C_CH10_capacity_forecast500.csv
2017-05-12_4_8C-80per_4_8C_CH10_capacity,550,0.9205,bin_0.9_0.95,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.9_0.95\2017-05-12_4_8C-80per_4_8C_CH10_capacity_forecast550.csv
2017-05-12_4_8C-80per_4_8C_CH9_capacity,500,0.975,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_4_8C-80per_4_8C_CH9_capacity_forecast500.csv
2017-05-12_4_8C-80per_4_8C_CH9_capacity,550,0.9677,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_4_8C-80per_4_8C_CH9_capacity_forecast550.csv
2017-05-12_4_8C-80per_4_8C_CH9_capacity,750,0.8999,bin_0.85_0.9,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.85_0.9\2017-05-12_4_8C-80per_4_8C_CH9_capacity_forecast750.csv
2017-05-12_5_4C-40per_3_6C_CH19_capacity,500,0.979,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_5_4C-40per_3_6C_CH19_capacity_forecast500.csv
2017-05-12_5_4C-40per_3_6C_CH19_capacity,550,0.9751,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_5_4C-40per_3_6C_CH19_capacity_forecast550.csv
2017-05-12_5_4C-40per_3_6C_CH19_capacity,750,0.9428,bin_0.9_0.95,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.9_0.95\2017-05-12_5_4C-40per_3_6C_CH19_capacity_forecast750.csv
2017-05-12_5_4C-40per_3_6C_CH20_capacity,500,0.9815,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_5_4C-40per_3_6C_CH20_capacity_forecast500.csv
2017-05-12_5_4C-40per_3_6C_CH20_capacity,550,0.9782,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_5_4C-40per_3_6C_CH20_capacity_forecast550.csv
2017-05-12_5_4C-40per_3_6C_CH20_capacity,750,0.9572,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.95_1.0\2017-05-12_5_4C-40per_3_6C_CH20_capacity_forecast750.csv
2017-05-12_5_4C-50per_3C_CH13_capacity,500,0.9791,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_5_4C-50per_3C_CH13_capacity_forecast500.csv
2017-05-12_5_4C-50per_3C_CH13_capacity,550,0.9754,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_5_4C-50per_3C_CH13_capacity_forecast550.csv
2017-05-12_5_4C-50per_3C_CH13_capacity,750,0.9488,bin_0.9_0.95,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.9_0.95\2017-05-12_5_4C-50per_3C_CH13_capacity_forecast750.csv
2017-05-12_5_4C-50per_3C_CH14_capacity,500,0.9743,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_5_4C-50per_3C_CH14_capacity_forecast500.csv
2017-05-12_5_4C-50per_3C_CH14_capacity,550,0.9665,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_5_4C-50per_3C_CH14_capacity_forecast550.csv
