Cycle_Index,Discharge_Capacity
1.0,1.0641999
2.0,1.0680153
3.0,1.0691153
4.0,1.0698709
5.0,1.0705818
6.0,1.0706009
7.0,1.0707194
8.0,1.0711333
9.0,1.0711216
10.0,1.071297
11.0,1.0715313
12.0,1.0714687
13.0,1.0716541
14.0,1.0719966
15.0,1.0720046
16.0,1.0720097
17.0,1.0722343
18.0,1.0722232
19.0,1.0723783
20.0,1.0723876
21.0,1.0723708
22.0,1.0725733
23.0,1.0724384
24.0,1.0724502
25.0,1.0726156
26.0,1.0724554
27.0,1.0725958
28.0,1.0728347
29.0,1.0727203
30.0,1.0726393
31.0,1.0726308
32.0,1.0725203
33.0,1.0724337
34.0,1.0725482
35.0,1.0723906
36.0,1.0725156
37.0,1.0726811
38.0,1.0727078
39.0,1.0730206
40.0,1.0729147
41.0,1.0729113
42.0,1.0729187
43.0,1.0727586
44.0,1.0727086
45.0,1.0728718
46.0,1.0726886
47.0,1.072723
48.0,1.0727786
49.0,1.0725687
50.0,1.0725982
51.0,1.0728087
52.0,1.0726577
53.0,1.0724988
54.0,1.0726149
55.0,1.0725015
56.0,1.0724863
57.0,1.0723734
58.0,1.0721807
59.0,1.0725199
60.0,1.0722873
61.0,1.072331
62.0,1.072531
63.0,1.0723745
64.0,1.0722322
65.0,1.0724565
66.0,1.072327
67.0,1.0723248
68.0,1.0724397
69.0,1.0721872
70.0,1.0721257
71.0,1.0721933
72.0,1.0720134
73.0,1.0719442
74.0,1.0720071
75.0,1.0719434
76.0,1.0719203
77.0,1.0719451
78.0,1.0716909
79.0,1.0718374
80.0,1.0716406
81.0,1.0716357
82.0,1.0717181
83.0,1.0715203
84.0,1.0715127
85.0,1.0718064
86.0,1.0716878
87.0,1.0714977
88.0,1.0716333
89.0,1.0714011
90.0,1.0714071
91.0,1.0714288
92.0,1.071308
93.0,1.0712093
94.0,1.0711676
95.0,1.0710257
96.0,1.0709475
97.0,1.0707841
98.0,1.0707065
99.0,1.0709631
100.0,1.070745
101.0,1.0708048
102.0,1.0707366
103.0,1.0704596
104.0,1.0703435
105.0,1.0704277
106.0,1.0702198
107.0,1.0702515
108.0,1.0702314
109.0,1.0701568
110.0,1.0702426
111.0,1.0703026
112.0,1.07015
113.0,1.0698615
114.0,1.0699196
115.0,1.0698071
116.0,1.0699142
117.0,1.069752
118.0,1.0695596
119.0,1.0694977
120.0,1.0693313
121.0,1.0692098
122.0,1.0693069
123.0,1.0691605
124.0,1.0691361
125.0,1.0691749
126.0,1.0689381
127.0,1.0687442
128.0,1.0686864
129.0,1.0685161
130.0,1.0683715
131.0,1.0684137
132.0,1.0684408
133.0,1.0684239
134.0,1.0683297
135.0,1.0682979
136.0,1.0681998
137.0,1.0681807
138.0,1.0679702
139.0,1.0678909
140.0,1.0678205
141.0,1.0676899
142.0,1.0677849
143.0,1.0675642
144.0,1.0674036
145.0,1.0674393
146.0,1.0672065
147.0,1.0670757
148.0,1.0671037
149.0,1.0669074
150.0,1.0666344
151.0,1.0666364
152.0,1.0664806
153.0,1.0662496
154.0,1.0662553
155.0,1.0660611
156.0,1.0659448
157.0,1.0660083
158.0,1.0659072
159.0,1.0659474
160.0,1.0657951
161.0,1.0655867
162.0,1.0656933
163.0,1.0654539
164.0,1.065219
165.0,1.0653627
166.0,1.065078
167.0,1.0647702
168.0,1.0649116
169.0,1.064607
170.0,1.0644947
171.0,1.0645332
172.0,1.0643852
173.0,1.0643194
174.0,1.0641072
175.0,1.0639105
176.0,1.0638846
177.0,1.0636638
178.0,1.0635109
179.0,1.0634325
180.0,1.0632758
181.0,1.0632306
182.0,1.0633743
183.0,1.0631315
184.0,1.0630455
185.0,1.0630535
186.0,1.0628067
187.0,1.0626693
188.0,1.0626029
189.0,1.0623263
190.0,1.0622016
191.0,1.0621701
192.0,1.0618728
193.0,1.0615819
194.0,1.061529
195.0,1.0613801
196.0,1.0613698
197.0,1.061241
198.0,1.0610577
199.0,1.0607817
200.0,1.0606136
201.0,1.0604153
202.0,1.0604531
203.0,1.0601478
204.0,1.0599047
205.0,1.0601027
206.0,1.0599308
207.0,1.0597665
208.0,1.059781
209.0,1.0594145
210.0,1.0592718
211.0,1.0592625
212.0,1.0590174
213.0,1.0587312
214.0,1.0585955
215.0,1.0583473
216.0,1.0583006
217.0,1.0580287
218.0,1.0578817
219.0,1.0578682
220.0,1.0576714
221.0,1.0575716
222.0,1.0574561
223.0,1.057124
224.0,1.0569714
225.0,1.0569594
226.0,1.0566192
227.0,1.0564733
228.0,1.0563858
229.0,1.0561191
230.0,1.0560914
231.0,1.0560373
232.0,1.0557411
233.0,1.0556377
234.0,1.0555129
235.0,1.0553043
236.0,1.0550277
237.0,1.0548686
238.0,1.0545745
239.0,1.0545295
240.0,1.0542752
241.0,1.054082
242.0,1.0539062
243.0,1.0537022
244.0,1.0535375
245.0,1.0535733
246.0,1.053295
247.0,1.052971
248.0,1.0528212
249.0,1.0517528
250.0,1.0508651
251.0,1.0511779
252.0,1.0511041
253.0,1.0510712
254.0,1.0511181
255.0,1.0509044
256.0,1.0508345
257.0,1.050754
258.0,1.0505195
259.0,1.050455
