Cycle_Index,Discharge_Capacity
1.0,1.076773
2.0,1.0794537
3.0,1.0806577
4.0,1.0812927
5.0,1.0817964
6.0,1.082124
7.0,1.0823274
8.0,1.0824894
9.0,1.0826534
10.0,1.0827931
11.0,1.0828774
12.0,1.0829589
13.0,1.0830729
14.0,1.0830579
15.0,1.0830588
16.0,1.0831062
17.0,1.0831524
18.0,1.0831289
19.0,1.083196
20.0,1.0832456
21.0,1.0832524
22.0,1.0832658
23.0,1.0833102
24.0,1.0832921
25.0,1.0833464
26.0,1.0833081
27.0,1.0832864
28.0,1.0833145
29.0,1.0833284
30.0,1.0833681
31.0,1.0833194
32.0,1.0832484
33.0,1.0832229
34.0,1.0832559
35.0,1.0832584
36.0,1.0832632
37.0,1.0832604
38.0,1.0833092
39.0,1.083308
40.0,1.0832961
41.0,1.0832679
42.0,1.083234
43.0,1.0831758
44.0,1.0831817
45.0,1.0831972
46.0,1.0831847
47.0,1.0831146
48.0,1.0831022
49.0,1.0831069
50.0,1.0831246
51.0,1.0833983
52.0,1.0836052
53.0,1.0837262
54.0,1.0837907
55.0,1.0838029
56.0,1.0831645
57.0,1.0830424
58.0,1.0830162
59.0,1.0829923
60.0,1.0829701
61.0,1.0830206
62.0,1.0829672
63.0,1.0829027
64.0,1.0829126
65.0,1.0828959
66.0,1.0828919
67.0,1.0828562
68.0,1.082875
69.0,1.0828127
70.0,1.0827907
71.0,1.0827816
72.0,1.0827421
73.0,1.0826882
74.0,1.0826483
75.0,1.0826143
76.0,1.0825993
77.0,1.0825791
78.0,1.0825341
79.0,1.0825131
80.0,1.0824996
81.0,1.0824348
82.0,1.0824144
83.0,1.0823388
84.0,1.0822846
85.0,1.0823339
86.0,1.0822827
87.0,1.0822502
88.0,1.0822413
89.0,1.0821868
90.0,1.0821469
91.0,1.0821527
92.0,1.0821027
93.0,1.0821068
94.0,1.082075
95.0,1.082034
96.0,1.0820094
97.0,1.0819383
98.0,1.0819026
99.0,1.081872
100.0,1.0818107
101.0,1.0818329
102.0,1.0817598
103.0,1.0817426
104.0,1.0816952
105.0,1.081647
106.0,1.0816245
107.0,1.0815271
108.0,1.081466
109.0,1.0814419
110.0,1.0814322
111.0,1.0813991
112.0,1.0813869
113.0,1.0814029
114.0,1.0813192
115.0,1.0812136
116.0,1.0811721
117.0,1.0811491
118.0,1.0810941
119.0,1.0810699
120.0,1.0810823
121.0,1.0810548
122.0,1.0810316
123.0,1.0809923
124.0,1.0809342
125.0,1.0808675
126.0,1.080808
127.0,1.0806936
128.0,1.0807029
129.0,1.0806748
130.0,1.0806227
131.0,1.0805855
132.0,1.080526
133.0,1.0804874
134.0,1.0804274
135.0,1.0803493
136.0,1.0802861
137.0,1.0802497
138.0,1.0802222
139.0,1.0801655
140.0,1.0801413
141.0,1.0801055
142.0,1.0800602
143.0,1.0800147
144.0,1.0799116
145.0,1.0798789
146.0,1.0798399
147.0,1.0797907
148.0,1.079754
149.0,1.0796691
150.0,1.0796633
151.0,1.0796318
152.0,1.0795935
153.0,1.0795566
154.0,1.0795048
155.0,1.0794709
156.0,1.0794358
157.0,1.0793532
158.0,1.0793142
159.0,1.079281
160.0,1.0791336
161.0,1.0791321
162.0,1.0790942
163.0,1.0790808
164.0,1.0790683
165.0,1.0791764
166.0,1.0792329
167.0,1.0792062
168.0,1.0790482
169.0,1.07891
170.0,1.0787718
171.0,1.0787115
172.0,1.0787719
173.0,1.0786194
174.0,1.0789193
175.0,1.078923
176.0,1.0788903
177.0,1.0789036
178.0,1.0787181
179.0,1.0786794
180.0,1.0783999
181.0,1.0783412
182.0,1.0778887
183.0,1.0782067
184.0,1.0781623
185.0,1.0781093
186.0,1.0780445
187.0,1.0779934
188.0,1.0779349
189.0,1.0778962
190.0,1.0778456
191.0,1.0778526
192.0,1.0778766
193.0,1.0779788
194.0,1.0780311
195.0,1.0780188
196.0,1.0778154
197.0,1.0776718
198.0,1.0775373
199.0,1.0774673
200.0,1.0775931
201.0,1.0777732
202.0,1.0778902
203.0,1.0779303
204.0,1.0779395
205.0,1.0778637
206.0,1.0778091
207.0,1.0764706
208.0,1.0773699
209.0,1.0771438
210.0,1.0770631
211.0,1.0769947
212.0,1.0768965
213.0,1.0768666
214.0,1.0767883
215.0,1.0767379
216.0,1.0766442
217.0,1.0766169
218.0,1.0765975
219.0,1.0766264
220.0,1.0766206
221.0,1.0767162
222.0,1.0768039
223.0,1.0767294
224.0,1.0765398
225.0,1.0763377
226.0,1.0761082
227.0,1.0760456
228.0,1.0761471
229.0,1.0762148
230.0,1.076321
231.0,1.0763209
232.0,1.0758929
233.0,1.0761809
234.0,1.0761647
235.0,1.0759871
236.0,1.0754555
237.0,1.0754937
238.0,1.0754569
