Cycle_Index,Discharge_Capacity
1.0,1.0803634
2.0,1.0833029
3.0,1.0846047
4.0,1.0854201
5.0,1.086074
6.0,1.0863302
7.0,1.086442
8.0,1.0867541
9.0,1.0869442
10.0,1.0871686
11.0,1.0872169
12.0,1.087332
13.0,1.0873116
14.0,1.087273
15.0,1.0873559
16.0,1.0873736
17.0,1.0873928
18.0,1.0873899
19.0,1.087337
20.0,1.087449
21.0,1.0874051
22.0,1.0873945
23.0,1.0874515
24.0,1.0874407
25.0,1.0875146
26.0,1.0875448
27.0,1.0875932
28.0,1.0876236
29.0,1.0875967
30.0,1.0875825
31.0,1.0875857
32.0,1.0875446
33.0,1.0875931
34.0,1.0876737
35.0,1.0876747
36.0,1.0876946
37.0,1.0876426
38.0,1.0875874
39.0,1.0875787
40.0,1.0875367
41.0,1.0874904
42.0,1.0873679
43.0,1.0873394
44.0,1.0873619
45.0,1.087366
46.0,1.0873665
47.0,1.0873616
48.0,1.0873033
49.0,1.0872591
50.0,1.0874337
51.0,1.0876352
52.0,1.0877703
53.0,1.0878062
54.0,1.0877342
55.0,1.0872959
56.0,1.0872681
57.0,1.0872542
58.0,1.0872645
59.0,1.0872059
60.0,1.087224
61.0,1.0872219
62.0,1.0871788
63.0,1.0871576
64.0,1.0871391
65.0,1.0870867
66.0,1.0870699
67.0,1.0870594
68.0,1.0869573
69.0,1.0869454
70.0,1.0869274
71.0,1.0868351
72.0,1.0868382
73.0,1.086777
74.0,1.0867499
75.0,1.086706
76.0,1.0866839
77.0,1.0866197
78.0,1.0865819
79.0,1.0865314
80.0,1.0865797
81.0,1.0865432
82.0,1.0865077
83.0,1.0864692
84.0,1.0863792
85.0,1.0862976
86.0,1.0862681
87.0,1.0862447
88.0,1.0862306
89.0,1.0862139
90.0,1.0861542
91.0,1.0860937
92.0,1.0861045
93.0,1.0860515
94.0,1.0860145
95.0,1.0859166
96.0,1.0858628
97.0,1.085856
98.0,1.0858395
99.0,1.0857989
100.0,1.0857353
101.0,1.0857539
102.0,1.0856363
103.0,1.0855831
104.0,1.0855793
105.0,1.0854777
106.0,1.0853467
107.0,1.0854101
108.0,1.0854499
109.0,1.0854751
110.0,1.0854232
111.0,1.0854576
112.0,1.0854344
113.0,1.0853233
114.0,1.0852926
115.0,1.0853653
116.0,1.0852827
117.0,1.0852861
118.0,1.0853314
119.0,1.0853425
120.0,1.0853049
121.0,1.0851821
122.0,1.08504
123.0,1.0849427
124.0,1.084865
125.0,1.0848795
126.0,1.0848291
127.0,1.0847818
128.0,1.0847524
129.0,1.0846921
130.0,1.0846479
131.0,1.0845499
132.0,1.0844166
133.0,1.0843834
134.0,1.0843347
135.0,1.084307
136.0,1.0842992
137.0,1.0843241
138.0,1.0843614
139.0,1.0843121
140.0,1.0841849
141.0,1.0840833
142.0,1.0840296
143.0,1.0840493
144.0,1.0840025
145.0,1.0839547
146.0,1.0839354
147.0,1.083887
148.0,1.0838993
149.0,1.0839301
150.0,1.0838801
151.0,1.0838728
152.0,1.0838333
153.0,1.0837635
154.0,1.0837103
155.0,1.0836502
156.0,1.0835675
157.0,1.0835513
158.0,1.0835098
159.0,1.0834874
160.0,1.0834626
161.0,1.0835692
162.0,1.0836805
163.0,1.0836792
164.0,1.0834917
165.0,1.0833282
166.0,1.0832403
167.0,1.083071
168.0,1.0831622
169.0,1.0833019
170.0,1.0834016
171.0,1.083425
172.0,1.0834113
173.0,1.0832869
174.0,1.083205
175.0,1.0830646
176.0,1.0828756
177.0,1.0828387
178.0,1.0828003
179.0,1.0827966
180.0,1.0827338
181.0,1.0826445
182.0,1.0825977
183.0,1.0825378
184.0,1.0824612
185.0,1.0824199
186.0,1.0824288
187.0,1.0824397
188.0,1.082543
189.0,1.0826628
190.0,1.0826499
191.0,1.0824929
192.0,1.0823219
193.0,1.0821463
194.0,1.0820384
195.0,1.082201
196.0,1.0824466
