Cycle_Index,Discharge_Capacity
1,1.0636507
2,1.0661705
3,1.0667928
4,1.0674137
5,1.0678893
6,1.0683733
7,1.068862
8,1.0691321
9,1.0693638
10,1.0695512
11,1.0683745
12,1.069784
13,1.0698236
14,1.0698264
15,1.0697457999999995
16,1.0699476
17,1.0700938
18,1.0700723
19,1.0701458
20,1.0700632
21,1.0701082
22,1.0701121
23,1.0700816000000002
24,1.0700164999999997
25,1.0699893
26,1.0699711
27,1.0699532
28,1.0698727
29,1.0696832
30,1.0698504
31,1.0698689
32,1.0697455
33,1.0698024
34,1.0697377
35,1.0696578
36,1.0696011
37,1.069602
38,1.0695733
39,1.0694541000000002
40,1.0694679500000002
41,1.0694818
42,1.0694627
43,1.0694138
44,1.0692772
45,1.0692852
46,1.06911
47,1.0690894
48,1.0690513
49,1.0689088
50,1.0689219
51,1.0688115
52,1.0687654
53,1.0675288
54,1.0688134
55,1.0689895
56,1.0690435
57,1.0690312
58,1.0685651
59,1.0683942
60,1.0682666
61,1.0682377
62,1.0681961
63,1.068053
64,1.0680323
65,1.0679131
66,1.0678315
67,1.0677707
68,1.0676849
69,1.0675687
70,1.0674714
71,1.0673964
72,1.0673052
73,1.0672312
74,1.0671396
75,1.0670553
76,1.0669148
77,1.066882
78,1.0667326
79,1.0666827
80,1.0665759
81,1.0664879
82,1.0663667
83,1.0662019
84,1.0661716
85,1.0662024
86,1.0658867000000003
87,1.0658376
88,1.065811
89,1.0656552
90,1.0655397
91,1.0655847
92,1.0654104
93,1.0652179
94,1.0651042
95,1.0638232
96,1.0648335
97,1.0648432
98,1.0647006
99,1.0646114
100,1.0645274
101,1.0644009
102,1.064324
103,1.0642416
104,1.0640787
105,1.0639834
106,1.0638382
107,1.0638094
108,1.0637245
109,1.0635141
110,1.0633938
111,1.0632008
112,1.0630629
113,1.0629203
114,1.0630087
115,1.0628386
116,1.0627444
117,1.0626279
118,1.0624988
119,1.0622746
120,1.0621755
121,1.0619847
122,1.061969
123,1.0618163
124,1.0617387
125,1.0615469
126,1.0614775
127,1.0613353
128,1.0612184
129,1.0610393
130,1.0608857
131,1.0607171
132,1.0605569
133,1.0605973
134,1.0603961
135,1.0602294
136,1.0601475
137,1.0587647
138,1.060014
139,1.0596255
140,1.0595865
141,1.0593673
142,1.0592937
143,1.0590832
144,1.0590233
145,1.0590456
146,1.0588032
147,1.0586804
148,1.0584548
149,1.0583737
150,1.058268
151,1.058028
152,1.0578343
153,1.0577629
154,1.0576096
155,1.0573943
156,1.0574464
157,1.0572844
158,1.056906
159,1.0569404
160,1.0567657
161,1.0566707
162,1.0565121
163,1.0563419
164,1.0562255
165,1.0557054
166,1.0558558
167,1.0557734
168,1.0556623
169,1.0556222
170,1.0550247
171,1.0554947
172,1.0553312
173,1.0549423
174,1.0547761
175,1.054543
176,1.0546153
177,1.0542277
178,1.0545654
179,1.0535039
180,1.0544393
181,1.054322
182,1.053985
183,1.054028
184,1.0537823
185,1.0534539
186,1.05327
187,1.0531338
188,1.0529455
189,1.0527596
190,1.0526319
191,1.0522736
192,1.0523962
193,1.0522573
194,1.051954
195,1.0519763
196,1.0519122
197,1.051916
198,1.0518937
199,1.0518582
200,1.051702
201,1.0513675
202,1.0511804
203,1.0509921
204,1.0507782
205,1.0506072
206,1.0448501
207,1.0505323
208,1.0508418
209,1.0507981
210,1.0506972
211,1.0506319
212,1.0504103
213,1.0499469
214,1.0496776
215,1.0494475
216,1.0494113
217,1.0493122
218,1.0490845
219,1.0489706
220,1.0488464
221,1.0487095
222,1.0486306
223,1.0484123
224,1.0482377
225,1.0483532
226,1.0480849
227,1.0483683
228,1.0481981
229,1.0479121
230,1.0477026
231,1.0475278
232,1.0474399
233,1.047305
234,1.0474088
235,1.0470887
236,1.0467714
237,1.047042
238,1.046997
239,1.0469582
240,1.0468119
241,1.0465302
242,1.0462044
243,1.0460632
244,1.046036
245,1.0459857
246,1.0458528
247,1.0457188
248,1.0454383
249,1.0454366
250,1.0453411
251,1.0453846
252,1.0447404
253,1.0449024
254,1.0446036
255,1.0449761
256,1.0450213
257,1.0447754
258,1.044396
259,1.0440837
260,1.0440671
261,1.0441215
262,1.0439508
263,1.0441377
264,1.0441144
265,1.0439053
266,1.04317
267,1.0439287
268,1.0436894
269,1.0434806
270,1.0432639
271,1.0428857
272,1.0428492
273,1.0427364
274,1.0424575
275,1.0424683
276,1.0421382
277,1.0422713
278,1.0418197
279,1.0420038
280,1.0416061
281,1.0418079
282,1.0417476
283,1.0417852
284,1.0414609
285,1.0412769
286,1.0413525
287,1.0410432
288,1.0411564
289,1.0410503
290,1.0406716
291,1.0408021
292,1.0405576
293,1.0408894
294,1.04073
295,1.0408491
296,1.04053
297,1.0399076
298,1.0404003
299,1.0402251
300,1.0399725
301,1.0397204
302,1.0387524
303,1.0391914
304,1.0391147
305,1.0392665
306,1.0375519
307,1.0391864
308,1.0384952
309,1.0388676
310,1.0384418
311,1.0386478
312,1.0382323
313,1.0381165
314,1.038029
315,1.0376761
316,1.0375252
317,1.036828
318,1.0374341
319,1.0377668
320,1.0375304
321,1.0366327
322,1.0372015
323,1.0372447
324,1.0374696
325,1.0367575
326,1.0373125
327,1.0365031
328,1.0364622
329,1.0366009
330,1.0363581
331,1.0362668
332,1.036078
333,1.0361216
334,1.0363188
335,1.0360248
336,1.0359682
337,1.0357708
338,1.0354208
339,1.0353799
340,1.0354043
341,1.0360385
342,1.0359242
343,1.0361764
344,1.0350358
345,1.0351156
346,1.0343413
347,1.0353692
348,1.0346718
349,1.0339509
350,1.0348641
351,1.035798
352,1.0355316
353,1.035915
354,1.0357764
355,1.0356886
356,1.0351347
357,1.0346999
358,1.0344864
359,1.0337479
360,1.0336783
361,1.033926
362,1.0340257
363,1.0334519
364,1.0333358
365,1.0336334
366,1.0332664
367,1.033404
368,1.0333896
369,1.0329415
370,1.0328254
371,1.0328865
372,1.0322808
373,1.0328175
374,1.0324703
375,1.032529
376,1.031286
377,1.0324769
378,1.0318849
379,1.0324012
380,1.0321838
381,1.0315663
382,1.0319316
383,1.0314116
384,1.0322871
385,1.0308195
386,1.0311329
387,1.0310373
388,1.0312213
389,1.0303704
390,1.0311141
391,1.0308313
392,1.0298704
393,1.0304302
394,1.029906
395,1.0305462
396,1.0299808
397,1.0302135
398,1.029829
399,1.029336
400,1.0292772
401,1.0292703
402,1.02952
403,1.0284078
404,1.0288874
405,1.0292633
406,1.0287755
407,1.0279135
408,1.0285985
409,1.0285882
410,1.0288867
411,1.0285271
412,1.0287014
413,1.0290848
414,1.0285522
415,1.0280626
416,1.0283927
417,1.0274887
418,1.0273081
419,1.0271667
420,1.0273238
421,1.026186
422,1.0263801
423,1.0265093
424,1.0267711
425,1.0266622
426,1.0262524
427,1.0259379
428,1.0257901
429,1.0256525
430,1.0253768
431,1.025854
432,1.0258166
433,1.0254641
434,1.0256455
435,1.0251144
436,1.0253862
437,1.0249223
438,1.0252177
439,1.024859
440,1.0252045
441,1.0251082
442,1.0243464
443,1.0248791
444,1.0248654
445,1.0242175
446,1.0233905
447,1.0242447
448,1.0238181
449,1.0233251
450,1.0232821
451,1.0232291
452,1.0228592
453,1.0230721
454,1.0226916
455,1.0223802
456,1.0220084
457,1.0220739
458,1.0222
459,1.0215539
460,1.0223346
461,1.0218527
462,1.0210249
463,1.0210935
464,1.021467
465,1.0212803
466,1.019923
467,1.0206734
468,1.0206351
469,1.0194412
470,1.0202591
471,1.0201929
472,1.0201504
473,1.020066
474,1.0198562
475,1.0195298
476,1.0200067
477,1.019074
478,1.0176476
479,1.0185199
480,1.0187559
481,1.0175521
482,1.016948
483,1.0179044
484,1.0182492
485,1.0178555
486,1.0173203
487,1.0169576
488,1.0173903
489,1.0165966
490,1.0163518
491,1.016656
492,1.0160452
493,1.0160257
494,1.015879
495,1.0154502
496,1.0157347
497,1.0154988
498,1.0156324
499,1.0151595
500,1.0150905
501,1.0151365
502,1.0150831
503,1.0148927
504,1.0143774
505,1.0144398
506,1.0143102
507,1.0141363
508,1.0136708
509,1.0128198
510,1.0129005
511,1.0125654
512,1.0123473
513,1.0120682
514,1.0104874
515,1.0097542
516,1.0082052
517,1.0097529
518,1.0089369
519,1.0098685
520,1.009611
521,1.009377
522,1.0087426
523,1.0077535
524,1.0080585
525,1.0080665
526,1.0079271
527,1.0072312
528,1.0067928
529,1.0065554
530,1.0061324
531,1.0064546
532,1.0063084
533,1.0058017
534,1.0060065
535,1.0056684
536,1.0054903
537,1.0046766
538,1.0040696
539,1.0039227
540,1.0037657
541,1.0022988
542,1.0024016
543,1.0022367
544,1.0028151
545,1.0018573
546,1.0016915
547,1.0007991
548,1.001008
549,1.0006618
550,1.0002352
