Cycle_Index,Discharge_Capacity
1,1.0451531
2,1.0462732
3,1.0472243
4,1.0480354
5,1.0485005
6,1.0489757
7,1.0493212
8,1.0496308
9,1.0499588
10,1.0499612
11,1.0500613
12,1.0501567
13,1.050017
14,1.0502694
15,1.0500481
16,1.050331
17,1.0502356
18,1.0503628
19,1.0504011
20,1.0503913
21,1.0504469
22,1.0505558
23,1.0505773
24,1.0506248
25,1.0505224
26,1.0505047
27,1.0504947
28,1.0504878
29,1.0503314
30,1.0505327
31,1.0504519
32,1.0505646
33,1.0506554
34,1.05083
35,1.0507379
36,1.0508314
37,1.0510526
38,1.0510288
39,1.050912
40,1.0510163
41,1.0509326
42,1.0511289
43,1.0510294
44,1.0509675
45,1.0508642
46,1.0508164
47,1.050985
48,1.050983
49,1.0509394
50,1.0508856
51,1.0508926
52,1.0508176
53,1.0506972
54,1.0508476
55,1.0506618
56,1.0508817
57,1.0508116
58,1.0509826
59,1.0509937
60,1.0509284
61,1.0509654
62,1.0509025
63,1.0509551
64,1.0509547
65,1.050931
66,1.0509614
67,1.050755
68,1.0507619
69,1.0507965
70,1.0507456
71,1.0507637
72,1.050765
73,1.05068
74,1.0507071
75,1.0506223
76,1.0505668
77,1.0506308
78,1.0507888
79,1.0507329
80,1.0505954
81,1.0505154
82,1.0504793
83,1.050573
84,1.0494744
85,1.0504917
86,1.0504795
87,1.050411
88,1.0504463
89,1.050487
90,1.0504754
91,1.0505174
92,1.0505538
93,1.0504483
94,1.0503871
95,1.0502656
96,1.0502148
97,1.0501618
98,1.0500886
99,1.0501817
100,1.050084
101,1.0500271
102,1.0500097
103,1.0500411
104,1.0499752
105,1.0499564
106,1.0498651
107,1.0498509
108,1.0499309
109,1.0498929
110,1.0498269
111,1.0497422
112,1.0498111
113,1.0498233
114,1.0497698
115,1.0486268
116,1.0498171
117,1.0498122
118,1.0496781
119,1.0496261
120,1.0495595
121,1.0494899
122,1.0495411
123,1.0494181
124,1.049418
125,1.0494965
126,1.0493582
127,1.0493886
128,1.0494457
129,1.0493189
130,1.04918
131,1.0493143
132,1.0492957
133,1.0493226
134,1.0490711
135,1.0491061
136,1.049068
137,1.0489815
138,1.0488882
139,1.0489142
140,1.0487204
141,1.0487601
142,1.0488759
143,1.0486041
144,1.0485493
145,1.0484878
146,1.0486604
147,1.0486526
148,1.0486286
149,1.0485516
150,1.0485681
151,1.0484544
152,1.0484076
153,1.0485258
154,1.0484921
155,1.048453
156,1.0482945
157,1.0481541
158,1.0481156
159,1.0481253
160,1.0481586
161,1.0480943
162,1.0481349
163,1.0480829
164,1.0480291
165,1.0479418
166,1.0479479
167,1.047829
168,1.0478402
169,1.0477462
170,1.0476428
171,1.0475469
172,1.0475456
173,1.0474625
174,1.0475039
175,1.0474601
176,1.0474063
177,1.047351
178,1.0473509
179,1.0473188
180,1.0473895
181,1.0472722
182,1.0471822
183,1.0471691
184,1.0472021
185,1.0470716
186,1.0471128
187,1.0470668
188,1.0470665
189,1.0469353
190,1.0469682
191,1.0469537
