Cycle_Index,Discharge_Capacity
1,1.0815607
2,1.0829742
3,1.0836858
4,1.0842299
5,1.0847102
6,1.0852641
7,1.085762
8,1.0860056
9,1.0863638
10,1.0866315
11,1.086799
12,1.0870346
13,1.087181
14,1.0872157
15,1.0871215
16,1.0873179
17,1.0873795
18,1.0875041
19,1.0875157
20,1.0875694
21,1.0876187
22,1.0877124
23,1.0876653
24,1.0877374
25,1.0877383
26,1.0877628
27,1.087786
28,1.0877867
29,1.0879239
30,1.0879281
31,1.0879413
32,1.0879295
33,1.087972
34,1.0879275
35,1.0879639
36,1.0880113
37,1.0880399
38,1.0880636
39,1.0880574
40,1.0880647
41,1.0880977
42,1.0880865
43,1.0880245
44,1.0879619
45,1.0880111
46,1.0880554
47,1.0880666
48,1.0880635
49,1.0880865
50,1.0880841
51,1.0881288
52,1.0884784
53,1.088695
54,1.0888647
55,1.0889499
56,1.0888634
57,1.0882839
58,1.0883187
59,1.0883174
60,1.0883482
61,1.0883431
62,1.0883257
63,1.0883681
64,1.0883664
65,1.0883844
66,1.0883226
67,1.0882971
68,1.0882499
69,1.08831
70,1.0882537
71,1.0882674
72,1.0882212
73,1.0882043
74,1.0881728
75,1.0881227
76,1.0880947
77,1.0881171
78,1.0880589
79,1.0880405
80,1.0880493
81,1.0880032
82,1.0879772
83,1.0880091
84,1.0880288
85,1.0878466
86,1.0878968
87,1.0878869
88,1.0877805
89,1.0878149
90,1.0877758
91,1.0877765
92,1.0877366
93,1.0877336
94,1.087725
95,1.0876564
96,1.0877317
97,1.0876859
98,1.0876646
99,1.0876714
100,1.0876312
101,1.0876603
102,1.087628
103,1.0875539
104,1.0875611
105,1.0875115
106,1.0874407
107,1.0875031
108,1.0873278
109,1.0872458
110,1.0871518
111,1.0873665
112,1.0873598
113,1.087346
114,1.0873293
115,1.0872239
116,1.0872233
117,1.087183
118,1.0871054
119,1.0871768
120,1.087142
121,1.0871811
122,1.0872356
123,1.0871774
124,1.0871495
125,1.0870261
126,1.0869067
127,1.0868413
128,1.0868219
129,1.0867624
130,1.0866878
131,1.0867161
132,1.0866727
133,1.0866115
134,1.08656
135,1.0865159
136,1.0863463
137,1.08631
138,1.0863092
139,1.0862672
140,1.0863174
141,1.0862838
142,1.0863068
143,1.0861881
144,1.0861881
145,1.0861142
146,1.0861185
147,1.0860633
148,1.0859883
149,1.0859958
150,1.0859754
151,1.085981
152,1.0859499
153,1.085906
154,1.0858878
155,1.0858127
156,1.0858073
157,1.0856981
158,1.0857038
159,1.0856601
160,1.0855665
161,1.0855827
162,1.0855124
163,1.0855354
164,1.0855515
165,1.0856667
166,1.0857598
167,1.0857254
168,1.0855577
169,1.0853578
170,1.0853271
171,1.0852129
172,1.0853044
173,1.0854286
174,1.0855083
175,1.0855665
176,1.0855225
177,1.0854498
178,1.0853806
179,1.0852655
180,1.0849762
181,1.0850741
182,1.0849961
183,1.0849605
184,1.0848938
185,1.0848663
186,1.0848155
187,1.0847224
188,1.0846609
189,1.084657
190,1.0845432
191,1.084553
192,1.0846223
193,1.0847336
194,1.0847898
195,1.0847882
196,1.0845852
197,1.0844349
198,1.08437
199,1.0842944
200,1.084515
201,1.0847282
202,1.0848092
203,1.0848669
204,1.0848504
205,1.0847968
206,1.0847068
207,1.0845296
208,1.0841782
209,1.0840101
210,1.0839393
211,1.0838276
212,1.0837955
213,1.0837417
214,1.0837066
215,1.0836544
216,1.0823084
217,1.0835176
218,1.0835286
219,1.0835376
220,1.0836041
221,1.0837895
222,1.0837892
223,1.0836649
224,1.0834444
225,1.08325
226,1.0832022
227,1.0831294
228,1.0832788
229,1.0834061
230,1.0834515
231,1.0834057
232,1.0833956
233,1.083348
234,1.0832232
235,1.0830663
236,1.0828172
237,1.082835
238,1.0827565
239,1.0827062
240,1.0826273
241,1.0825779
242,1.0824718
243,1.0823683
244,1.0823723
245,1.082346
246,1.0823348
247,1.0823226
248,1.0823665
249,1.0824935
250,1.0825491
251,1.0823586
252,1.0821791
253,1.0820502
254,1.0819846
255,1.0819241
256,1.0820825
257,1.0821545
258,1.0822324
259,1.0822406
260,1.0822103
261,1.0821654
262,1.082111
263,1.0818746
264,1.081635
265,1.0816245
266,1.0815609
267,1.0815043
268,1.0814501
269,1.081369
270,1.0813214
271,1.081208
272,1.0811818
273,1.0811204
274,1.0810571
275,1.0810223
276,1.0810612
277,1.0811435
278,1.0811205
279,1.0809599
280,1.0808442
281,1.0808085
282,1.0807232
283,1.0807183
284,1.0808164
285,1.0809366
286,1.0809956
287,1.0810325
288,1.0810263
289,1.0810342
290,1.0809963
291,1.0807834
292,1.0804363
293,1.0802751
294,1.0801615
295,1.0801449
296,1.0800958
297,1.0800296
298,1.0799716
299,1.0799091
300,1.0799255
301,1.0798469
302,1.0797827
303,1.0797487
304,1.0797418
305,1.079715
306,1.0796274
307,1.0796319
308,1.0795346
309,1.0795002
310,1.0794044
311,1.0793993
312,1.0794333
313,1.0794671
314,1.0794929
315,1.079469
316,1.0794407
317,1.0793974
318,1.0794079
319,1.0792006
320,1.0790037
321,1.0789415
322,1.0789205
323,1.0788481
324,1.0787784
325,1.0786937
326,1.078675
327,1.0786239
328,1.0785953
329,1.0785227
330,1.0784918
331,1.0786555
332,1.0791762
333,1.0794647
334,1.0795577
335,1.0790257
336,1.0793152
337,1.0792623
338,1.0792575
339,1.0794402
340,1.0784931
341,1.0798657
342,1.0800157
343,1.0800881
344,1.080165
345,1.0800858
346,1.0801107
347,1.0798112
348,1.0794405
349,1.0791324
350,1.0788957
351,1.0787719
352,1.0786564
353,1.0785863
354,1.0785062
355,1.0784615
356,1.0784105
357,1.0783753
358,1.078283
359,1.0782514
360,1.0782633
361,1.0783226
362,1.0782102
363,1.0780944
364,1.0780196
365,1.0778949
366,1.0778399
367,1.0780035
368,1.0781307
369,1.0782306
370,1.0783018
371,1.0783803
372,1.0783871
373,1.0783935
374,1.0783702
375,1.0781064
376,1.0778317
377,1.0776136
378,1.0774271
379,1.0772649
380,1.0771756
381,1.0770888
382,1.077085
383,1.0769932
384,1.0769615
385,1.0769166
386,1.0769113
387,1.0768489
388,1.0769193
389,1.0769573
390,1.0768772
391,1.07673
392,1.0765685
393,1.0764253
394,1.0763681
395,1.0765324
396,1.0766416
397,1.0768102
398,1.0768982
399,1.0769031
400,1.0769253
401,1.0769005
402,1.0768701
403,1.0765824
404,1.0762978
405,1.0760491
406,1.0758847
407,1.0757468
408,1.0756402
409,1.0755568
410,1.0754908
411,1.0754266
412,1.0754009
413,1.0746599
414,1.0752838
415,1.0753109
416,1.0754082
417,1.0748485
418,1.075115
419,1.0751622
420,1.0750068
421,1.0748774
422,1.0747852
423,1.0736797
424,1.0750972
425,1.0751795
426,1.0752778
427,1.0752543
428,1.0752436
429,1.0752274
430,1.0751405
431,1.07487
432,1.0746148
433,1.0744033
434,1.0742033
435,1.0740587
436,1.073988
437,1.0739484
438,1.0738982
439,1.073838
440,1.073771
441,1.0737492
