Cycle_Index,Discharge_Capacity
1,1.0771072
2,1.0798725
3,1.0813485
4,1.0821602
5,1.0826759
6,1.0829167
7,1.0831659
8,1.0833956
9,1.0835146
10,1.0837516
11,1.0838147
12,1.0838485
13,1.0839056
14,1.0839137
15,1.08398
16,1.0840327
17,1.0841408
18,1.0840665
19,1.0841254
20,1.0841348
21,1.0841161
22,1.0840869
23,1.0841415
24,1.0841033
25,1.0840853
26,1.0841078
27,1.0841339
28,1.0841767
29,1.084216
30,1.0842557
31,1.0842093
32,1.0842201
33,1.0841891
34,1.0842584
35,1.0842706
36,1.0843306
37,1.0843236
38,1.0842649
39,1.0842837
40,1.0843091
41,1.0842717
42,1.0842272
43,1.0841547
44,1.0841452
45,1.0841539
46,1.0841689
47,1.0841471
48,1.0842035
49,1.0841972
50,1.0841715
51,1.0844183
52,1.0846211
53,1.0847725
54,1.084832
55,1.0847926
56,1.084291
57,1.0842625
58,1.0842159
59,1.084232
60,1.0842601
61,1.0842237
62,1.0841886
63,1.0841935
64,1.0841503
65,1.0841762
66,1.0841503
67,1.0841401
68,1.0841006
69,1.0840977
70,1.0840256
71,1.0840645
72,1.0840681
73,1.0840242
74,1.0840145
75,1.083977
76,1.083966
77,1.0839247
78,1.0838919
79,1.0838617
80,1.0838106
81,1.0837847
82,1.0837648
83,1.0837893
84,1.0837179
85,1.0837246
86,1.0836434
87,1.0835776
88,1.0836002
89,1.0835422
90,1.0835356
91,1.0835367
92,1.0834954
93,1.0834519
94,1.0834613
95,1.0834644
96,1.0833831
97,1.0833113
98,1.0832618
99,1.0832654
100,1.0832821
101,1.083203
102,1.0831333
103,1.0831041
104,1.0830988
105,1.0830412
106,1.0830047
107,1.0829235
108,1.0828764
109,1.0828695
110,1.0829138
111,1.0829058
112,1.0828485
113,1.0828689
114,1.0828078
115,1.0827293
116,1.08269
117,1.0826043
118,1.0826362
119,1.0826004
120,1.0826224
121,1.0826049
122,1.082544
123,1.0825045
124,1.0824279
125,1.0823539
126,1.0823036
127,1.0822557
128,1.0822448
129,1.0821507
130,1.0821007
131,1.0820625
132,1.0820391
133,1.0819489
134,1.0818557
135,1.0817689
136,1.08166
137,1.0816888
138,1.0816951
139,1.0816704
140,1.081663
141,1.081646
142,1.0815777
143,1.0814805
144,1.0813929
145,1.0813839
146,1.0813456
147,1.0812807
148,1.0812285
149,1.0812031
150,1.0811468
151,1.0811847
152,1.0811236
153,1.0810704
154,1.0810413
155,1.0809751
156,1.0809146
157,1.0808698
158,1.08081
159,1.0807176
160,1.0806493
161,1.0806098
162,1.080543
163,1.0805241
164,1.0806431
165,1.0807765
166,1.0806869
167,1.0805643
168,1.0803293
169,1.0802493
170,1.0801765
171,1.0801662
172,1.0803323
173,1.0804104
174,1.0804191
175,1.0803875
176,1.0802759
177,1.080202
178,1.080085
179,1.0798411
180,1.0797538
181,1.0797064
182,1.0796528
183,1.0795609
184,1.079519
185,1.0794247
186,1.0793507
187,1.0792662
188,1.079216
189,1.0791024
190,1.0790905
191,1.0791212
192,1.0792568
193,1.0793085
194,1.0792804
195,1.0790782
196,1.0788841
197,1.0787668
198,1.0786664
199,1.0788527
200,1.0790186
201,1.0791209
202,1.0791341
203,1.0791599
204,1.0790864
205,1.0790007
206,1.0788511
207,1.0784912
208,1.078288
209,1.0782211
210,1.0781182
211,1.0780424
212,1.0779819
213,1.0779262
214,1.0778272
215,1.0777762
216,1.0777168
217,1.0777014
218,1.0776764
219,1.0777266
220,1.0778253
221,1.0779071
222,1.0777627
223,1.0775154
224,1.0773039
225,1.0772722
226,1.0771536
227,1.0772231
228,1.0772649
229,1.0773488
230,1.0773339
231,1.0772984
232,1.0772029
233,1.0770625
234,1.0769809
235,1.0766129
236,1.0766187
237,1.0765456
238,1.076483
239,1.0763643
240,1.0762739
241,1.0761822
242,1.0760998
243,1.0760299
244,1.0759945
245,1.075937
246,1.0759236
247,1.0759108
248,1.0759828
249,1.0760683
250,1.0758703
251,1.0756974
252,1.0755237
253,1.0754066
254,1.0752852
255,1.0753967
256,1.0754638
257,1.0755126
258,1.075543
259,1.0754397
260,1.075375
261,1.0752974
262,1.0751458
263,1.0748236
264,1.0747604
265,1.0746602
266,1.0746155
267,1.0744592
268,1.0744234
269,1.0743064
270,1.0742276
271,1.0741367
272,1.0740188
273,1.0739517
274,1.0738592
275,1.0738351
276,1.0739048
277,1.0738527
278,1.0736974
279,1.0735718
280,1.07354
281,1.0734255
282,1.0733174
283,1.073351
284,1.073396
285,1.0731615
286,1.0734642
287,1.0734707
288,1.0732774
289,1.0729163
290,1.0731896
291,1.0728951
292,1.0726507
293,1.0725461
294,1.0724769
295,1.0723755
296,1.0723207
297,1.0721972
298,1.0720887
299,1.0720193
300,1.0719458
301,1.0718678
302,1.0717554
303,1.0716803
304,1.0716525
305,1.0715514
306,1.0715309
307,1.0714061
308,1.0713391
309,1.071193
310,1.0711348
311,1.070886
312,1.0710543
313,1.0710737
314,1.0708076
315,1.070716
316,1.0708771
317,1.0706831
318,1.0706195
319,1.0704002
320,1.0703245
321,1.069995
322,1.069998
323,1.0699887
324,1.0699115
325,1.0698742
326,1.0696166
327,1.0694653
328,1.069507
329,1.0692464
330,1.0694445
331,1.0698851
332,1.0700673
333,1.0696996
334,1.0698658
335,1.0697143
336,1.0694875
337,1.0695258
338,1.0694599
339,1.0696399
340,1.0697829
341,1.0697188
342,1.0697842
343,1.0698787
344,1.0696986
345,1.0695935
346,1.0694276
347,1.0689754
348,1.0686948
349,1.0685309
350,1.0683025
351,1.0680957
352,1.0681179
353,1.067872
354,1.0679766
355,1.067643
356,1.0673697
357,1.0673852
358,1.0668923
359,1.0671848
360,1.0671723
361,1.0669392
362,1.0671259
363,1.0666441
364,1.0663446
365,1.066282
366,1.0660751
367,1.0665001
368,1.0666044
369,1.0661688
370,1.0663739
371,1.0664471
372,1.0663016
373,1.0663412
374,1.0662552
375,1.0657463
376,1.0655981
377,1.0653926
378,1.0651898
379,1.0649602
380,1.0648896
381,1.0646356
382,1.0645065
383,1.0643656
384,1.0643373
385,1.0643065
386,1.0640869
387,1.0635879
388,1.0641171
389,1.0635873
390,1.0634497
391,1.0635312
392,1.0632422
393,1.0632315
394,1.0625356
395,1.0627683
396,1.0628846
397,1.0627638
398,1.0626625
399,1.0629708
400,1.062565
401,1.0625278
402,1.0625819
403,1.062192
404,1.0620016
405,1.0612302
406,1.0613884
407,1.0611138
408,1.0610483
409,1.0605766
410,1.060726
411,1.0601554
412,1.0604227
413,1.0601443
414,1.059862
415,1.0597677
416,1.0598062
417,1.0594773
418,1.0595367
419,1.0591731
420,1.0593088
421,1.0590487
422,1.0586683
423,1.0585788
424,1.0585514
425,1.0584352
426,1.0586233
427,1.0582376
428,1.0578665
429,1.0580739
430,1.058051
431,1.0577444
432,1.0572004
