Cycle_Index,Discharge_Capacity
1.0,1.0651802
2.0,1.0687391
3.0,1.0702139
4.0,1.0712186
5.0,1.0713428
6.0,1.0717576
7.0,1.072253
8.0,1.0722264
9.0,1.072341
10.0,1.0724788
11.0,1.0721933
12.0,1.0724114
13.0,1.0725312
14.0,1.0722629
15.0,1.0724429
16.0,1.0723234
17.0,1.0720124
18.0,1.0720856
19.0,1.0720655
20.0,1.0717537
21.0,1.0717922
22.0,1.0715176
23.0,1.0712464
24.0,1.0712163
25.0,1.0708883
26.0,1.0708908
27.0,1.0707636
28.0,1.0704046
29.0,1.0704691000000002
30.0,1.0702686
31.0,1.0698671
32.0,1.0698721
33.0,1.069787
34.0,1.0692831
35.0,1.0693512
36.0,1.0691968
37.0,1.0688694
38.0,1.068827
39.0,1.0686588
40.0,1.068321
41.0,1.0682758
42.0,1.0681033
43.0,1.0677873
44.0,1.0676129
45.0,1.0673558
46.0,1.0670644
47.0,1.0668906
48.0,1.0666413
49.0,1.066347
50.0,1.0662351
51.0,1.0658135
52.0,1.0657854
53.0,1.065601
54.0,1.0652146
55.0,1.0650921
56.0,1.0648299
57.0,1.0643147
58.0,1.0643207
59.0,1.0641671
60.0,1.0635728
61.0,1.0635852
62.0,1.0633733
63.0,1.0628983
64.0,1.0628442
65.0,1.0625517
66.0,1.0621698
67.0,1.062085
68.0,1.0618284
69.0,1.0614539
70.0,1.0612525
71.0,1.0610272
72.0,1.0605732
73.0,1.0603958
74.0,1.060146
75.0,1.0598657
76.0,1.0595779
77.0,1.0591413
78.0,1.0589168
79.0,1.0586724
80.0,1.0582089
81.0,1.0580891
82.0,1.0577718
83.0,1.0571781
84.0,1.0570432
85.0,1.0568203
86.0,1.0563667
87.0,1.0562718
88.0,1.0556487
89.0,1.0553401
90.0,1.0549574
91.0,1.0548388
92.0,1.0542961
93.0,1.0543127
94.0,1.0539516
95.0,1.0534865
96.0,1.0533119
97.0,1.0530376
98.0,1.0525829
99.0,1.0524901
100.0,1.0521992
101.0,1.0517409
102.0,1.0515051
103.0,1.0510509
104.0,1.050783
105.0,1.0505422
106.0,1.0500356
107.0,1.0497077
108.0,1.0494983
109.0,1.0488955
110.0,1.0484384
111.0,1.0484893
112.0,1.0480074
113.0,1.0476464
114.0,1.0475428
115.0,1.0467021
116.0,1.0465678
117.0,1.0463161
118.0,1.0453731
119.0,1.0454838
120.0,1.0452806
121.0,1.0442706
122.0,1.0444502
123.0,1.0442626
124.0,1.0435495
125.0,1.0435833
126.0,1.0433098
127.0,1.0421094
128.0,1.0422579
129.0,1.0418115
130.0,1.041128
131.0,1.0413533
132.0,1.0411558
133.0,1.0403466
134.0,1.0399693
135.0,1.0402131
136.0,1.0398425
137.0,1.039508
138.0,1.0389944
139.0,1.0385388
140.0,1.0378087
141.0,1.0381026
142.0,1.0369344
143.0,1.0371189
144.0,1.0364081
145.0,1.0361412
146.0,1.0361453
147.0,1.0354551
148.0,1.0352755
149.0,1.0347936
150.0,1.0347784
151.0,1.0342822
152.0,1.0338001
153.0,1.0336151
154.0,1.0331922
155.0,1.0320113
156.0,1.0322256
157.0,1.0322086
158.0,1.0320219
159.0,1.0310366
160.0,1.0312172
161.0,1.0307457
162.0,1.0302955
163.0,1.0298373
164.0,1.0289829
165.0,1.0293803
166.0,1.0288756
167.0,1.0283694
168.0,1.0283129
169.0,1.0279428
170.0,1.0278094
171.0,1.0270039
172.0,1.0265135
173.0,1.0267016
174.0,1.0261799
175.0,1.0254803
176.0,1.0263506
177.0,1.0254725
178.0,1.0244652
179.0,1.0247711
180.0,1.0235779
181.0,1.0234945
182.0,1.0231845
183.0,1.0226307
184.0,1.0221993
185.0,1.02248
186.0,1.0219536
187.0,1.0215698
