Cycle_Index,Discharge_Capacity
1.0,1.0697117
2.0,1.072052
3.0,1.0732841
4.0,1.073923
5.0,1.0745075
6.0,1.0748942
7.0,1.0751569
8.0,1.0753995
9.0,1.0756208
10.0,1.0757509
11.0,1.074744
12.0,1.0761592
13.0,1.0763017
14.0,1.0764003
15.0,1.076528
16.0,1.0765961
17.0,1.076746
18.0,1.0768239
19.0,1.0769038
20.0,1.0769346
21.0,1.0770049
22.0,1.0771354
23.0,1.0771536
24.0,1.0771024
25.0,1.0771532
26.0,1.077193
27.0,1.0772907
28.0,1.0772779
29.0,1.0773371
30.0,1.0774695
31.0,1.0774262
32.0,1.0774169
33.0,1.0774788
34.0,1.0774674
35.0,1.0774797
36.0,1.0774944
37.0,1.0774944
38.0,1.0774701
39.0,1.0774537
40.0,1.0774671
41.0,1.0775019
42.0,1.0775154
43.0,1.0774778
44.0,1.0775139
45.0,1.0775546
46.0,1.0775586
47.0,1.0775291
48.0,1.0776343
49.0,1.0775354
50.0,1.0774972
51.0,1.0775217
52.0,1.0779532
53.0,1.0785941
54.0,1.0789155
55.0,1.0790675
56.0,1.0792258
57.0,1.0791963
58.0,1.0779672
59.0,1.0777899
60.0,1.077733
61.0,1.07769
62.0,1.0776488
63.0,1.0776398
64.0,1.0776285
65.0,1.0775516
66.0,1.0775563
67.0,1.0775678
68.0,1.0774982
69.0,1.0775094
70.0,1.0775197
71.0,1.077492
72.0,1.0774518
73.0,1.0775043
74.0,1.077538
75.0,1.0774537
76.0,1.0774285
77.0,1.0774139
78.0,1.077418
79.0,1.0774002
80.0,1.0773714
81.0,1.0772984
82.0,1.077256
83.0,1.0772365
84.0,1.0772132
85.0,1.0771937
86.0,1.0771948
87.0,1.0771426
88.0,1.077148
89.0,1.0771074
90.0,1.0771109
91.0,1.0771018
92.0,1.0770949
93.0,1.0770607
94.0,1.0770836
95.0,1.077094
96.0,1.077077
97.0,1.0770464
98.0,1.0770168
99.0,1.0770072
100.0,1.0769763
101.0,1.0769713
102.0,1.0769624
103.0,1.0769125
104.0,1.0769055
105.0,1.0768367
106.0,1.0768362
107.0,1.0768242
108.0,1.0767612
109.0,1.0767155
110.0,1.0766864
111.0,1.0766623
112.0,1.0767683
113.0,1.0767109
114.0,1.0766603
115.0,1.0766344
116.0,1.0766295
117.0,1.0765928
118.0,1.0765781
119.0,1.0765507
120.0,1.0765846
121.0,1.0765343
122.0,1.0765209
123.0,1.0764914
124.0,1.0763917
125.0,1.0763884
126.0,1.0763587
127.0,1.0763505
128.0,1.0762815
129.0,1.0762416
130.0,1.0761917
131.0,1.0761697
132.0,1.0761442
133.0,1.0760993
134.0,1.0760684
135.0,1.0760688
136.0,1.0760027
137.0,1.0760039
138.0,1.0759351
139.0,1.0759238
140.0,1.0758955
141.0,1.0759364
142.0,1.0758668
143.0,1.0758061
144.0,1.0758128
145.0,1.0757445
146.0,1.0757159
147.0,1.0756674
148.0,1.0756872
149.0,1.0757025
150.0,1.0756346
151.0,1.0755603
152.0,1.0755312
153.0,1.0755458
154.0,1.0755206
155.0,1.0755042
156.0,1.0754315
157.0,1.0754673
158.0,1.0753757
159.0,1.0753692
160.0,1.0753173
161.0,1.0752683
162.0,1.0752565
163.0,1.0751868
164.0,1.0751429
165.0,1.0751139
166.0,1.0751048
167.0,1.0750762
168.0,1.0751966
169.0,1.0754043
170.0,1.0753796
171.0,1.075291
172.0,1.0751119
173.0,1.0749377
174.0,1.0748329
175.0,1.0748107
176.0,1.0750164
177.0,1.0751773
178.0,1.0751848
179.0,1.0752637
180.0,1.0752072
181.0,1.075135
182.0,1.074977
183.0,1.074861
184.0,1.0745739
185.0,1.0745276
186.0,1.0744613
187.0,1.0744123
188.0,1.0743847
189.0,1.0743489
190.0,1.0743287
191.0,1.0742455
192.0,1.0742184
193.0,1.0742086
194.0,1.0741756
195.0,1.0742083
196.0,1.0742465
197.0,1.0744381
198.0,1.0744867
199.0,1.0744426
200.0,1.074227
201.0,1.074074
202.0,1.0739354
203.0,1.0738577
204.0,1.0740893
205.0,1.0743613
206.0,1.0744087
207.0,1.074517
208.0,1.0744768
209.0,1.0744767
210.0,1.0743589
211.0,1.074247
212.0,1.0738274
213.0,1.0735472
214.0,1.0734668
215.0,1.073422
216.0,1.0733558
217.0,1.0732894
218.0,1.0731949
219.0,1.0731621
220.0,1.0731277
221.0,1.0731258
222.0,1.0731052
223.0,1.0731168
224.0,1.0731664
225.0,1.0733104
226.0,1.0734174
227.0,1.0733758
228.0,1.0731249
229.0,1.0729063
230.0,1.0727257
231.0,1.0726514
232.0,1.0727252
233.0,1.072888
234.0,1.0729674
235.0,1.0730436
236.0,1.0730138
237.0,1.0729398
238.0,1.0729229
239.0,1.0728573
240.0,1.0725561
241.0,1.0722866
242.0,1.0722401
243.0,1.0722098
244.0,1.0721538
245.0,1.0721029
246.0,1.0720334
247.0,1.0719571
248.0,1.0719111
249.0,1.0719062
250.0,1.0718176
251.0,1.0718949
252.0,1.0718517
253.0,1.0719236
254.0,1.0720692
255.0,1.0720675
256.0,1.0719182
257.0,1.0716789
258.0,1.0714974
259.0,1.0714084
260.0,1.071409
261.0,1.0715545
262.0,1.0716693
263.0,1.0718051
264.0,1.0717419
265.0,1.0717436
266.0,1.0716672
267.0,1.0716094
268.0,1.0714897
269.0,1.0711138
270.0,1.0709718
271.0,1.0708936
272.0,1.0708599
273.0,1.0707717
274.0,1.0707184
275.0,1.0706359
276.0,1.070591
277.0,1.0705212
278.0,1.0705035
279.0,1.0704696
280.0,1.0704139
281.0,1.0704299
282.0,1.0705506
283.0,1.0705733
284.0,1.0704532
285.0,1.0702567
286.0,1.0701486
287.0,1.0701385
288.0,1.0700266
289.0,1.0700998
290.0,1.0702391
291.0,1.0703543
292.0,1.0704327
293.0,1.0704498
294.0,1.070477
295.0,1.0704304
296.0,1.070436
297.0,1.0701085
298.0,1.0697362
299.0,1.0696032
300.0,1.0695164
301.0,1.0694498
302.0,1.0693816
303.0,1.069312
304.0,1.0692822
305.0,1.069219
306.0,1.069203
307.0,1.0691371
308.0,1.0691391
309.0,1.0690569
310.0,1.0690324
311.0,1.0690241
312.0,1.0688709
313.0,1.0688394
314.0,1.0687642
315.0,1.0687102
316.0,1.0686609
317.0,1.0686613
318.0,1.0686669
319.0,1.068732
320.0,1.0687324
321.0,1.0687405
322.0,1.0687288
323.0,1.0686358
324.0,1.0686804
325.0,1.0684485
326.0,1.0681223
327.0,1.0680981
328.0,1.0680066
329.0,1.0679668
330.0,1.0679289
331.0,1.0678605
332.0,1.0678252
333.0,1.0677286
334.0,1.0676593
335.0,1.0675797
336.0,1.0674871
337.0,1.0674833
338.0,1.0686072
339.0,1.0690296
340.0,1.0691534
341.0,1.0691371
342.0,1.069032
343.0,1.0689731
344.0,1.0689144
345.0,1.0689759
346.0,1.069224
347.0,1.0693995
348.0,1.0695369
349.0,1.0696461
350.0,1.0697471
351.0,1.0697218
352.0,1.0696481
353.0,1.0696062
354.0,1.0692362
355.0,1.0688858
356.0,1.0686388
357.0,1.0684273
358.0,1.068302
359.0,1.0681875
360.0,1.0680865
361.0,1.0680796
362.0,1.0679497
363.0,1.0679278
364.0,1.0678588
365.0,1.0677961
366.0,1.0677071
367.0,1.0677722
368.0,1.0678331
369.0,1.0677336
370.0,1.0676023
371.0,1.0674827
372.0,1.0673493
373.0,1.0672616
374.0,1.0673757
