Cycle_Index,Discharge_Capacity
1.0,1.0771072
2.0,1.0798725
3.0,1.0813485
4.0,1.0821602
5.0,1.0826759
6.0,1.0829167
7.0,1.0831659
8.0,1.0833956
9.0,1.0835146
10.0,1.0837516
11.0,1.0838147
12.0,1.0838485
13.0,1.0839056
14.0,1.0839137
15.0,1.08398
16.0,1.0840327
17.0,1.0841408
18.0,1.0840665
19.0,1.0841254
20.0,1.0841348
21.0,1.0841161
22.0,1.0840869
23.0,1.0841415
24.0,1.0841033
25.0,1.0840853
26.0,1.0841078
27.0,1.0841339
28.0,1.0841767
29.0,1.084216
30.0,1.0842557
31.0,1.0842093
32.0,1.0842201
33.0,1.0841891
34.0,1.0842584
35.0,1.0842706
36.0,1.0843306
37.0,1.0843236
38.0,1.0842649
39.0,1.0842837
40.0,1.0843091
41.0,1.0842717
42.0,1.0842272
43.0,1.0841547
44.0,1.0841452
45.0,1.0841539
46.0,1.0841689
47.0,1.0841471
48.0,1.0842035
49.0,1.0841972
50.0,1.0841715
51.0,1.0844183
52.0,1.0846211
53.0,1.0847725
54.0,1.084832
55.0,1.0847926
56.0,1.084291
57.0,1.0842625
58.0,1.0842159
59.0,1.084232
60.0,1.0842601
61.0,1.0842237
62.0,1.0841886
63.0,1.0841935
64.0,1.0841503
65.0,1.0841762
66.0,1.0841503
67.0,1.0841401
68.0,1.0841006
69.0,1.0840977
70.0,1.0840256
71.0,1.0840645
72.0,1.0840681
73.0,1.0840242
74.0,1.0840145
75.0,1.083977
76.0,1.083966
77.0,1.0839247
78.0,1.0838919
79.0,1.0838617
80.0,1.0838106
81.0,1.0837847
82.0,1.0837648
83.0,1.0837893
84.0,1.0837179
85.0,1.0837246
86.0,1.0836434
87.0,1.0835776
88.0,1.0836002
89.0,1.0835422
90.0,1.0835356
91.0,1.0835367
92.0,1.0834954
93.0,1.0834519
94.0,1.0834613
95.0,1.0834644
96.0,1.0833831
97.0,1.0833113
98.0,1.0832618
99.0,1.0832654
100.0,1.0832821
101.0,1.083203
102.0,1.0831333
103.0,1.0831041
104.0,1.0830988
105.0,1.0830412
106.0,1.0830047
107.0,1.0829235
108.0,1.0828764
109.0,1.0828695
110.0,1.0829138
111.0,1.0829058
112.0,1.0828485
113.0,1.0828689
114.0,1.0828078
115.0,1.0827293
116.0,1.08269
117.0,1.0826043
118.0,1.0826362
119.0,1.0826004
120.0,1.0826224
121.0,1.0826049
122.0,1.082544
123.0,1.0825045
124.0,1.0824279
125.0,1.0823539
126.0,1.0823036
127.0,1.0822557
128.0,1.0822448
129.0,1.0821507
130.0,1.0821007
131.0,1.0820625
132.0,1.0820391
133.0,1.0819489
134.0,1.0818557
135.0,1.0817689
136.0,1.08166
137.0,1.0816888
138.0,1.0816951
139.0,1.0816704
140.0,1.081663
141.0,1.081646
142.0,1.0815777
143.0,1.0814805
144.0,1.0813929
145.0,1.0813839
146.0,1.0813456
147.0,1.0812807
148.0,1.0812285
149.0,1.0812031
150.0,1.0811468
151.0,1.0811847
152.0,1.0811236
153.0,1.0810704
154.0,1.0810413
155.0,1.0809751
156.0,1.0809146
157.0,1.0808698
158.0,1.08081
159.0,1.0807176
160.0,1.0806493
161.0,1.0806098
162.0,1.080543
163.0,1.0805241
164.0,1.0806431
165.0,1.0807765
166.0,1.0806869
167.0,1.0805643
168.0,1.0803293
169.0,1.0802493
170.0,1.0801765
171.0,1.0801662
172.0,1.0803323
173.0,1.0804104
174.0,1.0804191
175.0,1.0803875
176.0,1.0802759
177.0,1.080202
178.0,1.080085
179.0,1.0798411
180.0,1.0797538
181.0,1.0797064
182.0,1.0796528
183.0,1.0795609
184.0,1.079519
185.0,1.0794247
186.0,1.0793507
187.0,1.0792662
188.0,1.079216
189.0,1.0791024
190.0,1.0790905
191.0,1.0791212
192.0,1.0792568
193.0,1.0793085
194.0,1.0792804
195.0,1.0790782
196.0,1.0788841
197.0,1.0787668
198.0,1.0786664
199.0,1.0788527
200.0,1.0790186
201.0,1.0791209
202.0,1.0791341
203.0,1.0791599
204.0,1.0790864
205.0,1.0790007
206.0,1.0788511
207.0,1.0784912
208.0,1.078288
209.0,1.0782211
210.0,1.0781182
211.0,1.0780424
212.0,1.0779819
213.0,1.0779262
214.0,1.0778272
215.0,1.0777762
216.0,1.0777168
217.0,1.0777014
218.0,1.0776764
219.0,1.0777266
220.0,1.0778253
221.0,1.0779071
222.0,1.0777627
223.0,1.0775154
224.0,1.0773039
225.0,1.0772722
226.0,1.0771536
227.0,1.0772231
228.0,1.0772649
229.0,1.0773488
230.0,1.0773339
231.0,1.0772984
232.0,1.0772029
233.0,1.0770625
234.0,1.0769809
235.0,1.0766129
236.0,1.0766187
237.0,1.0765456
238.0,1.076483
239.0,1.0763643
240.0,1.0762739
241.0,1.0761822
242.0,1.0760998
243.0,1.0760299
244.0,1.0759945
245.0,1.075937
246.0,1.0759236
247.0,1.0759108
248.0,1.0759828
249.0,1.0760683
250.0,1.0758703
251.0,1.0756974
252.0,1.0755237
253.0,1.0754066
254.0,1.0752852
255.0,1.0753967
256.0,1.0754638
257.0,1.0755126
258.0,1.075543
259.0,1.0754397
260.0,1.075375
261.0,1.0752974
262.0,1.0751458
263.0,1.0748236
264.0,1.0747604
265.0,1.0746602
266.0,1.0746155
267.0,1.0744592
268.0,1.0744234
269.0,1.0743064
270.0,1.0742276
271.0,1.0741367
272.0,1.0740188
273.0,1.0739517
274.0,1.0738592
275.0,1.0738351
276.0,1.0739048
277.0,1.0738527
278.0,1.0736974
279.0,1.0735718
280.0,1.07354
281.0,1.0734255
282.0,1.0733174
283.0,1.073351
284.0,1.073396
285.0,1.0731615
286.0,1.0734642
287.0,1.0734707
288.0,1.0732774
289.0,1.0729163
290.0,1.0731896
291.0,1.0728951
292.0,1.0726507
293.0,1.0725461
294.0,1.0724769
295.0,1.0723755
296.0,1.0723207
297.0,1.0721972
298.0,1.0720887
299.0,1.0720193
300.0,1.0719458
301.0,1.0718678
302.0,1.0717554
303.0,1.0716803
304.0,1.0716525
305.0,1.0715514
306.0,1.0715309
307.0,1.0714061
308.0,1.0713391
309.0,1.071193
310.0,1.0711348
311.0,1.070886
312.0,1.0710543
313.0,1.0710737
314.0,1.0708076
315.0,1.070716
316.0,1.0708771
317.0,1.0706831
318.0,1.0706195
319.0,1.0704002
320.0,1.0703245
321.0,1.069995
322.0,1.069998
323.0,1.0699887
324.0,1.0699115
325.0,1.0698742
326.0,1.0696166
327.0,1.0694653
328.0,1.069507
329.0,1.0692464
330.0,1.0694445
331.0,1.0698851
332.0,1.0700673
333.0,1.0696996
334.0,1.0698658
335.0,1.0697143
336.0,1.0694875
337.0,1.0695258
338.0,1.0694599
339.0,1.0696399
340.0,1.0697829
341.0,1.0697188
342.0,1.0697842
343.0,1.0698787
344.0,1.0696986
345.0,1.0695935
346.0,1.0694276
347.0,1.0689754
348.0,1.0686948
349.0,1.0685309
350.0,1.0683025
351.0,1.0680957
352.0,1.0681179
353.0,1.067872
354.0,1.0679766
355.0,1.067643
356.0,1.0673697
357.0,1.0673852
358.0,1.0668923
359.0,1.0671848
360.0,1.0671723
361.0,1.0669392
362.0,1.0671259
363.0,1.0666441
364.0,1.0663446
365.0,1.066282
366.0,1.0660751
367.0,1.0665001
368.0,1.0666044
369.0,1.0661688
370.0,1.0663739
371.0,1.0664471
372.0,1.0663016
373.0,1.0663412
374.0,1.0662552
375.0,1.0657463
376.0,1.0655981
377.0,1.0653926
378.0,1.0651898
379.0,1.0649602
380.0,1.0648896
381.0,1.0646356
382.0,1.0645065
383.0,1.0643656
384.0,1.0643373
385.0,1.0643065
386.0,1.0640869
387.0,1.0635879
388.0,1.0641171
389.0,1.0635873
390.0,1.0634497
391.0,1.0635312
392.0,1.0632422
393.0,1.0632315
394.0,1.0625356
395.0,1.0627683
396.0,1.0628846
397.0,1.0627638
398.0,1.0626625
399.0,1.0629708
400.0,1.062565
401.0,1.0625278
402.0,1.0625819
403.0,1.062192
404.0,1.0620016
405.0,1.0612302
406.0,1.0613884
407.0,1.0611138
408.0,1.0610483
409.0,1.0605766
410.0,1.060726
411.0,1.0601554
412.0,1.0604227
413.0,1.0601443
414.0,1.059862
